subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
10	df	f	25	diamond	green	same	hori	left	(964, 400)	(1016, 525)	True	66133	68891	left	(840, 525)		practice
10	df	f	25	circle	green	same	vert	up	(964, 400)	(715, 400)	False	69904	None	None	(840, 525)		practice
10	df	f	25	diamond	red	same	vert	up	(964, 400)	(1016, 525)	True	75505	77563	up	(840, 525)		practice
10	df	f	25	circle	red	same	vert	up	(964, 400)	(715, 649)	True	78742	80315	up	(840, 525)		practice
10	df	f	25	diamond	green	same	hori	left	(964, 400)	(715, 400)	True	81549	83307	left	(840, 525)		practice
10	df	f	25	diamond	red	same	hori	left	(964, 400)	(840, 349)	True	84393	85763	left	(840, 525)		practice
10	df	f	25	diamond	red	same	hori	left	(964, 400)	(964, 649)	True	86771	88555	left	(840, 525)		practice
10	df	f	25	diamond	red	dif	vert	up	(964, 400)	(1016, 525)	True	89587	90355	up	(840, 525)		practice
10	df	f	25	diamond	red	dif	vert	up	(964, 400)	(664, 525)	True	91448	92355	up	(840, 525)		practice
10	df	f	25	diamond	green	dif	hori	left	(964, 400)	(664, 525)	True	93452	95498	left	(840, 525)		practice
10	df	f	25	circle	red	same	vert	up	(964, 400)	(664, 525)	True	96566	97539	up	(840, 525)		practice
10	df	f	25	diamond	none	same	hori	left	N_dis	(715, 400)	True	98635	100595	left	(840, 525)		practice
10	df	f	25	circle	red	same	vert	up	(964, 400)	(715, 649)	True	101799	103715	up	(840, 525)		practice
10	df	f	25	diamond	none	dif	vert	up	N_dis	(840, 701)	True	104751	106275	left	(840, 525)		practice
10	df	f	25	diamond	green	dif	vert	up	(964, 400)	(664, 525)	True	108999	110762	up	(840, 525)		practice
10	df	f	25	circle	green	dif	hori	left	(964, 400)	(715, 400)	True	111815	112690	left	(840, 525)		practice
10	df	f	25	circle	none	same	hori	left	N_dis	(964, 400)	True	113733	114635	left	(840, 525)		practice
10	df	f	25	diamond	red	dif	hori	left	(964, 400)	(715, 400)	True	115880	117403	left	(840, 525)		practice
10	df	f	25	circle	red	same	hori	left	(964, 400)	(715, 649)	True	118537	120195	left	(840, 525)		practice
10	df	f	25	diamond	red	same	vert	up	(964, 400)	(715, 400)	True	121420	122955	up	(840, 525)		practice
10	df	f	25	circle	none	same	vert	up	N_dis	(664, 525)	True	124003	125258	up	(840, 525)		practice
10	df	f	25	circle	green	dif	vert	up	(964, 400)	(715, 649)	True	126404	127490	up	(840, 525)		practice
10	df	f	25	circle	red	same	hori	left	(964, 400)	(840, 701)	True	128571	129274	left	(840, 525)		practice
10	df	f	25	circle	red	same	vert	up	(964, 400)	(840, 349)	True	130405	131563	up	(840, 525)		practice
10	df	f	25	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	132621	133595	up	(840, 525)		practice
10	df	f	25	diamond	red	same	hori	left	(964, 400)	(715, 400)	True	134665	135275	up	(840, 525)		practice
10	df	f	25	diamond	red	dif	vert	up	(964, 400)	(1016, 525)	True	138017	139307	up	(840, 525)		practice
10	df	f	25	diamond	red	same	hori	left	(964, 400)	(840, 349)	True	140337	141370	left	(840, 525)		practice
10	df	f	25	circle	green	same	vert	up	(964, 400)	(715, 400)	True	142509	143994	up	(840, 525)		practice
10	df	f	25	circle	none	same	vert	up	N_dis	(664, 525)	True	145167	145730	up	(840, 525)		practice
10	df	f	25	circle	red	dif	vert	up	(964, 400)	(840, 701)	True	146760	147434	up	(840, 525)		practice
10	df	f	25	circle	none	same	vert	up	N_dis	(664, 525)	True	148656	149235	up	(840, 525)		practice
10	df	f	25	diamond	green	dif	vert	up	(964, 400)	(715, 649)	True	150462	151659	up	(840, 525)		practice
10	df	f	25	circle	red	same	hori	left	(964, 400)	(715, 649)	True	152747	153419	left	(840, 525)		practice
10	df	f	25	circle	none	same	hori	left	N_dis	(840, 349)	True	154653	155243	up	(840, 525)		practice
10	df	f	25	diamond	red	dif	hori	left	(964, 400)	(715, 400)	True	157815	158714	left	(840, 525)		practice
10	df	f	25	diamond	green	same	vert	up	(964, 400)	(715, 649)	True	159780	160722	up	(840, 525)		practice
10	df	f	25	circle	green	dif	vert	up	(964, 400)	(840, 349)	True	161927	163938	up	(840, 525)		practice
10	df	f	25	diamond	none	same	vert	up	N_dis	(1016, 525)	True	164954	165842	up	(840, 525)		practice
10	df	f	25	diamond	none	same	vert	up	N_dis	(715, 400)	True	166939	167779	up	(840, 525)		practice
10	df	f	25	circle	red	same	vert	up	(964, 400)	(715, 649)	True	172988	174138	up	(840, 525)	0	testing
10	df	f	25	circle	none	same	vert	up	N_dis	(1016, 525)	True	175253	176026	up	(840, 525)	0	testing
10	df	f	25	circle	none	dif	vert	up	N_dis	(964, 400)	True	177067	177562	up	(840, 525)	0	testing
10	df	f	25	circle	red	same	hori	left	(840, 349)	(964, 400)	True	178762	180034	left	(840, 525)	0	testing
10	df	f	25	diamond	green	dif	hori	left	(964, 400)	(1016, 525)	True	181102	182698	left	(840, 525)	0	testing
10	df	f	25	diamond	none	same	hori	left	N_dis	(715, 400)	True	183755	184355	left	(840, 525)	0	testing
10	df	f	25	diamond	none	dif	vert	up	N_dis	(715, 400)	True	185551	186259	up	(840, 525)	0	testing
10	df	f	25	diamond	red	dif	hori	left	(1016, 525)	(964, 649)	True	187326	188074	up	(840, 525)	0	testing
10	df	f	25	circle	green	dif	vert	up	(964, 400)	(1016, 525)	True	190713	192554	up	(840, 525)	0	testing
10	df	f	25	circle	none	same	vert	up	N_dis	(664, 525)	True	193653	194234	up	(840, 525)	0	testing
10	df	f	25	diamond	green	dif	hori	left	(964, 400)	(964, 649)	True	195261	196866	left	(840, 525)	0	testing
10	df	f	25	circle	green	same	hori	left	(1016, 525)	(840, 701)	True	197917	200402	left	(840, 525)	0	testing
10	df	f	25	diamond	red	same	vert	up	(1016, 525)	(964, 400)	True	201655	203682	up	(840, 525)	0	testing
10	df	f	25	circle	none	same	vert	up	N_dis	(664, 525)	True	204821	205538	up	(840, 525)	0	testing
10	df	f	25	diamond	green	dif	hori	left	(964, 400)	(664, 525)	True	206725	207482	left	(840, 525)	0	testing
10	df	f	25	circle	none	dif	vert	up	N_dis	(715, 400)	True	208521	209714	up	(840, 525)	0	testing
10	df	f	25	diamond	none	dif	hori	left	N_dis	(964, 649)	True	210802	211554	up	(840, 525)	0	testing
10	df	f	25	circle	none	dif	hori	left	N_dis	(840, 349)	True	214272	215050	left	(840, 525)	0	testing
10	df	f	25	circle	green	same	vert	up	(964, 400)	(840, 349)	True	216297	218153	up	(840, 525)	0	testing
10	df	f	25	circle	red	dif	hori	left	(840, 701)	(964, 400)	True	219209	220362	left	(840, 525)	0	testing
10	df	f	25	circle	green	same	hori	left	(964, 400)	(664, 525)	True	221398	222898	left	(840, 525)	0	testing
10	df	f	25	circle	green	same	vert	up	(964, 400)	(715, 400)	True	224104	225082	up	(840, 525)	0	testing
10	df	f	25	diamond	green	same	hori	left	(964, 400)	(1016, 525)	True	226143	227386	left	(840, 525)	0	testing
10	df	f	25	diamond	green	same	vert	up	(964, 400)	(1016, 525)	True	228586	229514	up	(840, 525)	0	testing
10	df	f	25	circle	green	dif	hori	left	(964, 400)	(715, 400)	True	230741	231874	left	(840, 525)	0	testing
10	df	f	25	diamond	green	dif	vert	up	(840, 701)	(664, 525)	True	233068	234457	up	(840, 525)	0	testing
10	df	f	25	circle	green	same	hori	left	(964, 400)	(664, 525)	True	235469	237938	left	(840, 525)	0	testing
10	df	f	25	diamond	red	same	vert	up	(964, 400)	(1016, 525)	True	238959	240490	up	(840, 525)	0	testing
10	df	f	25	diamond	green	same	hori	left	(964, 400)	(840, 701)	True	241696	242674	left	(840, 525)	0	testing
10	df	f	25	circle	green	dif	vert	up	(964, 400)	(715, 649)	True	243773	244786	up	(840, 525)	0	testing
10	df	f	25	diamond	red	same	vert	up	(964, 400)	(840, 701)	True	245818	247050	up	(840, 525)	0	testing
10	df	f	25	diamond	none	same	vert	up	N_dis	(715, 649)	True	248302	249657	up	(840, 525)	0	testing
10	df	f	25	diamond	none	same	hori	left	N_dis	(964, 400)	True	250801	253153	left	(840, 525)	0	testing
10	df	f	25	circle	red	same	vert	up	(964, 400)	(715, 649)	True	254399	255330	up	(840, 525)	0	testing
10	df	f	25	circle	none	same	hori	left	N_dis	(964, 649)	True	256439	257330	left	(840, 525)	0	testing
10	df	f	25	circle	green	dif	vert	up	(964, 400)	(664, 525)	True	258494	259378	up	(840, 525)	0	testing
10	df	f	25	diamond	green	dif	vert	up	(715, 400)	(964, 400)	True	260456	261874	up	(840, 525)	0	testing
10	df	f	25	diamond	red	dif	hori	left	(840, 349)	(715, 649)	True	262952	263842	left	(840, 525)	0	testing
10	df	f	25	diamond	red	dif	hori	left	(964, 400)	(715, 400)	True	265062	266969	left	(840, 525)	0	testing
10	df	f	25	circle	red	same	hori	left	(964, 400)	(840, 701)	True	268218	270001	left	(840, 525)	0	testing
10	df	f	25	diamond	red	dif	vert	up	(964, 400)	(840, 701)	True	271058	271778	up	(840, 525)	0	testing
10	df	f	25	diamond	none	same	vert	up	N_dis	(1016, 525)	True	272846	274282	up	(840, 525)	0	testing
10	df	f	25	diamond	red	same	hori	left	(964, 400)	(715, 400)	True	275451	276402	left	(840, 525)	0	testing
10	df	f	25	diamond	green	dif	vert	up	(964, 400)	(715, 649)	True	277553	278442	up	(840, 525)	0	testing
10	df	f	25	circle	green	same	hori	left	(964, 400)	(964, 649)	True	279634	282129	left	(840, 525)	0	testing
10	df	f	25	circle	none	dif	vert	up	N_dis	(715, 649)	True	283243	283945	up	(840, 525)	0	testing
10	df	f	25	circle	none	same	vert	up	N_dis	(840, 701)	True	285115	286089	up	(840, 525)	0	testing
10	df	f	25	circle	red	same	hori	left	(964, 400)	(715, 649)	True	287338	288377	left	(840, 525)	0	testing
10	df	f	25	diamond	red	same	vert	up	(964, 400)	(715, 400)	True	289582	290538	left	(840, 525)	0	testing
10	df	f	25	circle	green	same	vert	up	(964, 400)	(715, 400)	True	293266	294138	up	(840, 525)	0	testing
10	df	f	25	diamond	green	same	vert	up	(715, 649)	(964, 400)	True	295371	298209	up	(840, 525)	0	testing
10	df	f	25	diamond	none	same	vert	up	N_dis	(1016, 525)	True	299324	300137	up	(840, 525)	0	testing
10	df	f	25	circle	green	dif	hori	left	(964, 400)	(840, 349)	True	301207	302521	up	(840, 525)	0	testing
10	df	f	25	circle	red	same	vert	up	(964, 400)	(664, 525)	True	305148	305849	up	(840, 525)	0	testing
