subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
11	po	f	24	circle	red	dif	vert	up	(840, 349)	(964, 400)	True	126613	127691	up	(840, 525)		practice
11	po	f	24	circle	red	dif	hori	left	(840, 349)	(1016, 525)	True	128799	129994	left	(840, 525)		practice
11	po	f	24	circle	none	dif	hori	left	N_dis	(715, 400)	True	131004	132138	left	(840, 525)		practice
11	po	f	24	circle	red	dif	hori	left	(840, 349)	(715, 400)	True	133306	133994	left	(840, 525)		practice
11	po	f	24	diamond	red	same	vert	up	(840, 349)	(840, 701)	True	135078	136563	up	(840, 525)		practice
11	po	f	24	diamond	red	same	hori	left	(840, 349)	(840, 701)	True	137774	138819	left	(840, 525)		practice
11	po	f	24	diamond	none	same	vert	up	N_dis	(1016, 525)	True	139990	140891	up	(840, 525)		practice
11	po	f	24	diamond	red	same	hori	left	(840, 349)	(715, 649)	True	141938	142923	left	(840, 525)		practice
11	po	f	24	diamond	green	dif	vert	up	(840, 349)	(964, 649)	True	143958	144619	left	(840, 525)		practice
11	po	f	24	diamond	red	same	vert	up	(840, 349)	(1016, 525)	True	147304	148458	up	(840, 525)		practice
11	po	f	24	diamond	none	same	hori	left	N_dis	(840, 349)	True	149514	150690	left	(840, 525)		practice
11	po	f	24	diamond	green	dif	vert	up	(840, 349)	(964, 649)	True	151807	153218	up	(840, 525)		practice
11	po	f	24	circle	green	same	hori	left	(840, 349)	(840, 701)	True	154331	155019	left	(840, 525)		practice
11	po	f	24	circle	none	dif	vert	up	N_dis	(964, 649)	True	156044	156699	up	(840, 525)		practice
11	po	f	24	diamond	none	dif	vert	up	N_dis	(715, 400)	True	157712	158571	up	(840, 525)		practice
11	po	f	24	circle	none	same	vert	up	N_dis	(715, 400)	True	159639	160275	up	(840, 525)		practice
11	po	f	24	diamond	red	dif	hori	left	(840, 349)	(715, 400)	True	161481	162170	left	(840, 525)		practice
11	po	f	24	diamond	green	dif	hori	left	(840, 349)	(840, 701)	True	163198	163794	left	(840, 525)		practice
11	po	f	24	diamond	none	dif	hori	left	N_dis	(840, 701)	True	164836	165362	left	(840, 525)		practice
11	po	f	24	diamond	red	dif	hori	left	(840, 349)	(715, 649)	True	166607	167338	left	(840, 525)		practice
11	po	f	24	diamond	none	dif	vert	up	N_dis	(715, 649)	True	168355	168954	up	(840, 525)		practice
11	po	f	24	circle	none	dif	vert	up	N_dis	(840, 349)	True	170035	171387	up	(840, 525)		practice
11	po	f	24	diamond	green	dif	vert	up	(840, 349)	(964, 649)	True	172447	173707	left	(840, 525)		practice
11	po	f	24	circle	green	dif	hori	left	(840, 349)	(964, 649)	True	176469	177402	left	(840, 525)		practice
11	po	f	24	circle	red	same	vert	up	(840, 349)	(664, 525)	True	178639	179514	up	(840, 525)		practice
11	po	f	24	circle	red	dif	vert	up	(840, 349)	(664, 525)	True	180529	181442	left	(840, 525)		practice
11	po	f	24	circle	green	dif	vert	up	(840, 349)	(964, 649)	True	183965	185546	up	(840, 525)		practice
11	po	f	24	diamond	none	dif	vert	up	N_dis	(840, 701)	True	186668	187490	up	(840, 525)		practice
11	po	f	24	circle	red	dif	vert	up	(840, 349)	(964, 400)	True	188686	189531	up	(840, 525)		practice
11	po	f	24	circle	green	same	vert	up	(840, 349)	(664, 525)	True	190621	191651	up	(840, 525)		practice
11	po	f	24	diamond	green	same	hori	left	(840, 349)	(715, 649)	True	192740	194154	left	(840, 525)		practice
11	po	f	24	circle	none	dif	hori	left	N_dis	(1016, 525)	True	195378	196826	left	(840, 525)		practice
11	po	f	24	diamond	red	dif	vert	up	(840, 349)	(715, 400)	True	197916	199026	up	(840, 525)		practice
11	po	f	24	circle	none	dif	hori	left	N_dis	(964, 649)	True	200254	200882	left	(840, 525)		practice
11	po	f	24	diamond	red	dif	vert	up	(840, 349)	(664, 525)	True	202060	202994	left	(840, 525)		practice
11	po	f	24	diamond	none	same	vert	up	N_dis	(664, 525)	True	205730	206771	up	(840, 525)		practice
11	po	f	24	diamond	green	same	vert	up	(840, 349)	(840, 701)	True	207800	209250	up	(840, 525)		practice
11	po	f	24	circle	red	same	hori	left	(840, 349)	(715, 649)	True	210294	211554	left	(840, 525)		practice
11	po	f	24	diamond	none	same	hori	left	N_dis	(840, 349)	True	212788	213522	left	(840, 525)		practice
11	po	f	24	circle	red	same	vert	up	(840, 349)	(964, 649)	True	214669	215602	up	(840, 525)		practice
11	po	f	24	circle	green	same	vert	up	(840, 349)	(964, 400)	True	337691	339337	up	(840, 525)	0	testing
11	po	f	24	circle	green	dif	vert	up	(840, 349)	(964, 649)	True	340452	341169	up	(840, 525)	0	testing
11	po	f	24	diamond	none	dif	hori	left	N_dis	(964, 649)	True	342259	343177	left	(840, 525)	0	testing
11	po	f	24	diamond	red	dif	vert	up	(1016, 525)	(964, 649)	True	344186	345505	left	(840, 525)	0	testing
11	po	f	24	diamond	red	dif	hori	left	(664, 525)	(840, 349)	True	348041	348905	left	(840, 525)	0	testing
11	po	f	24	circle	none	same	hori	left	N_dis	(964, 649)	True	350156	350977	left	(840, 525)	0	testing
11	po	f	24	diamond	green	dif	hori	left	(840, 701)	(664, 525)	True	352205	352929	left	(840, 525)	0	testing
11	po	f	24	circle	none	same	vert	up	N_dis	(715, 400)	True	354040	354753	up	(840, 525)	0	testing
11	po	f	24	diamond	green	dif	hori	left	(840, 349)	(840, 701)	True	355833	356617	left	(840, 525)	0	testing
11	po	f	24	circle	green	same	vert	up	(840, 349)	(664, 525)	True	357748	358753	up	(840, 525)	0	testing
11	po	f	24	diamond	red	same	vert	up	(840, 349)	(715, 400)	True	360000	360809	up	(840, 525)	0	testing
11	po	f	24	circle	none	dif	hori	left	N_dis	(1016, 525)	True	361984	363601	left	(840, 525)	0	testing
11	po	f	24	diamond	green	dif	hori	left	(1016, 525)	(840, 349)	True	364818	366081	left	(840, 525)	0	testing
11	po	f	24	diamond	red	same	hori	left	(840, 349)	(840, 701)	True	367186	368105	left	(840, 525)	0	testing
11	po	f	24	circle	none	dif	hori	left	N_dis	(964, 649)	True	369145	369865	left	(840, 525)	0	testing
11	po	f	24	circle	none	dif	vert	up	N_dis	(715, 649)	True	371110	371969	up	(840, 525)	0	testing
11	po	f	24	diamond	green	same	vert	up	(840, 349)	(664, 525)	True	373070	374441	up	(840, 525)	0	testing
11	po	f	24	circle	red	same	vert	up	(964, 649)	(840, 349)	True	375578	376929	up	(840, 525)	0	testing
11	po	f	24	circle	none	same	hori	left	N_dis	(964, 649)	True	378129	378976	left	(840, 525)	0	testing
11	po	f	24	circle	none	same	vert	up	N_dis	(964, 400)	True	380113	380961	up	(840, 525)	0	testing
11	po	f	24	diamond	none	dif	vert	up	N_dis	(664, 525)	True	382055	382937	up	(840, 525)	0	testing
11	po	f	24	circle	green	dif	hori	left	(840, 349)	(1016, 525)	True	384058	385217	left	(840, 525)	0	testing
11	po	f	24	diamond	none	dif	vert	up	N_dis	(715, 400)	True	386302	387057	up	(840, 525)	0	testing
11	po	f	24	circle	green	dif	vert	up	(840, 349)	(840, 701)	True	388073	388985	up	(840, 525)	0	testing
11	po	f	24	diamond	green	dif	hori	left	(715, 400)	(964, 400)	True	390121	392369	left	(840, 525)	0	testing
11	po	f	24	diamond	red	same	hori	left	(840, 349)	(715, 649)	True	393612	394656	left	(840, 525)	0	testing
11	po	f	24	diamond	green	dif	vert	up	(840, 349)	(964, 649)	True	395804	397552	up	(840, 525)	0	testing
11	po	f	24	circle	red	same	vert	up	(1016, 525)	(840, 701)	True	398658	399713	up	(840, 525)	0	testing
11	po	f	24	diamond	green	dif	hori	left	(715, 649)	(715, 400)	True	400870	401745	left	(840, 525)	0	testing
11	po	f	24	diamond	green	same	vert	up	(840, 349)	(715, 649)	True	402964	403777	up	(840, 525)	0	testing
11	po	f	24	diamond	none	same	hori	left	N_dis	(715, 649)	True	404896	405721	left	(840, 525)	0	testing
11	po	f	24	diamond	none	same	hori	left	N_dis	(840, 349)	True	406840	407625	left	(840, 525)	0	testing
11	po	f	24	circle	none	same	hori	left	N_dis	(715, 649)	True	408788	410000	left	(840, 525)	0	testing
11	po	f	24	diamond	green	same	vert	up	(840, 349)	(715, 400)	True	411211	412168	up	(840, 525)	0	testing
11	po	f	24	diamond	red	dif	vert	up	(840, 349)	(715, 400)	True	413289	414272	up	(840, 525)	0	testing
11	po	f	24	circle	green	same	vert	up	(840, 349)	(715, 400)	True	415506	416249	up	(840, 525)	0	testing
11	po	f	24	circle	green	dif	hori	left	(840, 349)	(1016, 525)	True	417273	418553	left	(840, 525)	0	testing
11	po	f	24	circle	red	dif	hori	left	(840, 349)	(1016, 525)	True	419777	420593	left	(840, 525)	0	testing
