subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
12	yh	f	29	diamond	red	same	vert	up	(715, 400)	(964, 649)	True	79953	81551	up	(840, 525)		practice
12	yh	f	29	circle	none	dif	vert	up	N_dis	(964, 649)	True	82785	83760	up	(840, 525)		practice
12	yh	f	29	diamond	none	dif	vert	up	N_dis	(664, 525)	True	84929	85816	up	(840, 525)		practice
12	yh	f	29	circle	none	dif	hori	left	N_dis	(840, 701)	False	86984	None	None	(840, 525)		practice
12	yh	f	29	circle	green	same	hori	left	(715, 400)	(840, 701)	True	92659	93847	left	(840, 525)		practice
12	yh	f	29	circle	none	dif	vert	up	N_dis	(664, 525)	True	94997	96367	up	(840, 525)		practice
12	yh	f	29	diamond	none	dif	hori	left	N_dis	(840, 701)	True	97407	98151	left	(840, 525)		practice
12	yh	f	29	diamond	green	dif	vert	up	(715, 400)	(964, 649)	True	99379	100711	up	(840, 525)		practice
12	yh	f	29	diamond	none	dif	vert	up	N_dis	(840, 701)	True	101787	102408	up	(840, 525)		practice
12	yh	f	29	diamond	red	dif	vert	up	(715, 400)	(964, 649)	True	103437	104672	up	(840, 525)		practice
12	yh	f	29	diamond	none	same	vert	up	N_dis	(964, 649)	True	105738	106663	left	(840, 525)		practice
12	yh	f	29	diamond	none	dif	hori	left	N_dis	(715, 649)	True	109285	110583	up	(840, 525)		practice
12	yh	f	29	circle	red	same	hori	left	(715, 400)	(1016, 525)	True	113099	114767	up	(840, 525)		practice
12	yh	f	29	diamond	none	same	vert	up	N_dis	(1016, 525)	True	117288	118279	up	(840, 525)		practice
12	yh	f	29	diamond	red	dif	hori	left	(715, 400)	(964, 400)	True	119443	120479	left	(840, 525)		practice
12	yh	f	29	circle	red	same	vert	up	(715, 400)	(664, 525)	True	121650	123159	up	(840, 525)		practice
12	yh	f	29	diamond	none	dif	vert	up	N_dis	(840, 349)	True	124288	124863	up	(840, 525)		practice
12	yh	f	29	diamond	red	dif	vert	up	(715, 400)	(840, 701)	True	126068	126887	left	(840, 525)		practice
12	yh	f	29	diamond	red	same	vert	up	(715, 400)	(664, 525)	True	129451	130711	up	(840, 525)		practice
12	yh	f	29	circle	none	dif	vert	up	N_dis	(715, 400)	True	131841	132783	left	(840, 525)		practice
12	yh	f	29	circle	green	dif	vert	up	(715, 400)	(964, 400)	True	135515	137199	up	(840, 525)		practice
12	yh	f	29	circle	green	same	hori	left	(715, 400)	(715, 649)	True	138389	139695	left	(840, 525)		practice
12	yh	f	29	diamond	red	same	vert	up	(715, 400)	(715, 649)	True	140796	141759	up	(840, 525)		practice
12	yh	f	29	circle	green	dif	vert	up	(715, 400)	(964, 400)	True	142959	144775	left	(840, 525)		practice
12	yh	f	29	circle	none	dif	vert	up	N_dis	(715, 400)	True	147504	148167	up	(840, 525)		practice
12	yh	f	29	circle	red	dif	vert	up	(715, 400)	(664, 525)	True	149292	150039	left	(840, 525)		practice
12	yh	f	29	diamond	red	dif	hori	left	(715, 400)	(840, 701)	True	152656	153767	up	(840, 525)		practice
12	yh	f	29	diamond	green	same	vert	up	(715, 400)	(1016, 525)	True	156426	157871	up	(840, 525)		practice
12	yh	f	29	circle	none	dif	hori	left	N_dis	(964, 400)	True	159070	159679	left	(840, 525)		practice
12	yh	f	29	circle	green	same	vert	up	(715, 400)	(715, 649)	True	160766	161983	left	(840, 525)		practice
12	yh	f	29	diamond	green	same	hori	left	(715, 400)	(840, 701)	True	164552	165919	left	(840, 525)		practice
12	yh	f	29	circle	red	dif	hori	left	(715, 400)	(664, 525)	True	166931	167758	up	(840, 525)		practice
