subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
13	yn	m	23	circle	green	dif	vert	up	(664, 525)	(840, 701)	False	173310	None	None	(840, 525)		practice
13	yn	m	23	circle	red	dif	hori	left	(664, 525)	(715, 649)	True	178965	180602	left	(840, 525)		practice
13	yn	m	23	circle	red	dif	vert	up	(664, 525)	(840, 349)	True	181750	182706	up	(840, 525)		practice
13	yn	m	23	circle	green	same	vert	up	(664, 525)	(715, 400)	True	183938	185082	up	(840, 525)		practice
13	yn	m	23	diamond	none	same	vert	up	N_dis	(664, 525)	False	186146	None	None	(840, 525)		practice
13	yn	m	23	circle	green	dif	hori	left	(664, 525)	(840, 349)	False	191802	None	None	(840, 525)		practice
13	yn	m	23	circle	none	dif	vert	up	N_dis	(840, 349)	True	197385	198578	up	(840, 525)		practice
13	yn	m	23	circle	none	same	vert	up	N_dis	(1016, 525)	True	199683	201066	up	(840, 525)		practice
13	yn	m	23	diamond	green	dif	vert	up	(664, 525)	(715, 400)	True	202187	203362	left	(840, 525)		practice
13	yn	m	23	circle	green	dif	vert	up	(664, 525)	(715, 400)	True	205971	207394	up	(840, 525)		practice
13	yn	m	23	circle	none	same	vert	up	N_dis	(715, 649)	True	208422	209393	left	(840, 525)		practice
13	yn	m	23	diamond	none	same	hori	left	N_dis	(715, 400)	True	211981	214058	left	(840, 525)		practice
13	yn	m	23	diamond	red	dif	vert	up	(664, 525)	(964, 400)	True	215267	216434	up	(840, 525)		practice
13	yn	m	23	diamond	none	same	vert	up	N_dis	(664, 525)	True	217450	219666	up	(840, 525)		practice
13	yn	m	23	circle	red	dif	hori	left	(664, 525)	(1016, 525)	True	220731	222506	left	(840, 525)		practice
13	yn	m	23	diamond	none	same	hori	left	N_dis	(664, 525)	True	223734	225081	left	(840, 525)		practice
13	yn	m	23	circle	none	dif	hori	left	N_dis	(840, 701)	True	226246	228002	left	(840, 525)		practice
13	yn	m	23	diamond	green	dif	hori	left	(664, 525)	(1016, 525)	True	229036	229978	up	(840, 525)		practice
13	yn	m	23	circle	none	same	hori	left	N_dis	(840, 701)	True	232557	235106	left	(840, 525)		practice
13	yn	m	23	diamond	none	same	hori	left	N_dis	(715, 400)	True	236137	237914	left	(840, 525)		practice
13	yn	m	23	diamond	green	same	hori	left	(664, 525)	(964, 649)	True	239020	240153	left	(840, 525)		practice
13	yn	m	23	diamond	none	dif	hori	left	N_dis	(840, 349)	True	241393	242865	left	(840, 525)		practice
13	yn	m	23	circle	none	dif	hori	left	N_dis	(715, 649)	True	244035	245722	left	(840, 525)		practice
13	yn	m	23	diamond	red	same	hori	left	(664, 525)	(715, 649)	True	246864	248642	up	(840, 525)		practice
13	yn	m	23	diamond	green	dif	vert	up	(664, 525)	(840, 701)	True	251167	252618	up	(840, 525)		practice
13	yn	m	23	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	253641	254602	up	(840, 525)		practice
13	yn	m	23	diamond	red	same	vert	up	(664, 525)	(715, 649)	True	255623	258409	up	(840, 525)		practice
13	yn	m	23	circle	green	same	vert	up	(664, 525)	(1016, 525)	True	259605	261938	up	(840, 525)		practice
13	yn	m	23	diamond	green	same	vert	up	(664, 525)	(715, 649)	True	263128	265050	up	(840, 525)		practice
13	yn	m	23	diamond	green	same	vert	up	(664, 525)	(840, 349)	True	266072	267346	up	(840, 525)		practice
13	yn	m	23	diamond	green	same	vert	up	(664, 525)	(715, 649)	True	268505	270010	up	(840, 525)		practice
13	yn	m	23	circle	none	dif	vert	up	N_dis	(1016, 525)	True	271179	273857	left	(840, 525)		practice
13	yn	m	23	diamond	red	same	hori	left	(664, 525)	(964, 649)	True	276527	278193	left	(840, 525)		practice
13	yn	m	23	circle	red	same	vert	up	(664, 525)	(840, 349)	True	279453	281010	up	(840, 525)		practice
13	yn	m	23	diamond	none	dif	hori	left	N_dis	(964, 649)	True	282129	283642	left	(840, 525)		practice
13	yn	m	23	diamond	green	dif	hori	left	(664, 525)	(715, 400)	True	284845	286585	up	(840, 525)		practice
13	yn	m	23	circle	green	same	hori	left	(664, 525)	(840, 701)	True	289265	290729	left	(840, 525)		practice
13	yn	m	23	circle	none	same	hori	left	N_dis	(715, 400)	True	291765	292889	left	(840, 525)		practice
13	yn	m	23	diamond	none	dif	vert	up	N_dis	(715, 400)	True	294044	296177	left	(840, 525)		practice
13	yn	m	23	circle	green	dif	hori	left	(664, 525)	(840, 701)	True	298769	299874	up	(840, 525)		practice
13	yn	m	23	diamond	green	same	hori	left	(840, 701)	(715, 649)	True	309741	311169	up	(840, 525)	0	testing
13	yn	m	23	circle	red	same	hori	left	(840, 701)	(964, 400)	True	313750	315218	left	(840, 525)	0	testing
13	yn	m	23	diamond	green	dif	hori	left	(1016, 525)	(964, 649)	True	316357	317881	left	(840, 525)	0	testing
13	yn	m	23	diamond	red	same	vert	up	(664, 525)	(964, 400)	True	318980	321113	left	(840, 525)	0	testing
13	yn	m	23	circle	green	same	vert	up	(840, 349)	(664, 525)	True	323819	325977	up	(840, 525)	0	testing
13	yn	m	23	circle	green	same	vert	up	(664, 525)	(1016, 525)	True	327090	327881	up	(840, 525)	0	testing
13	yn	m	23	diamond	red	dif	hori	left	(840, 701)	(664, 525)	True	328894	330577	up	(840, 525)	0	testing
13	yn	m	23	diamond	none	dif	hori	left	N_dis	(840, 701)	True	333329	335561	left	(840, 525)	0	testing
13	yn	m	23	circle	red	dif	hori	left	(664, 525)	(1016, 525)	True	336590	338873	up	(840, 525)	0	testing
13	yn	m	23	circle	none	dif	hori	left	N_dis	(840, 701)	True	341541	344177	left	(840, 525)	0	testing
13	yn	m	23	diamond	red	same	hori	left	(664, 525)	(1016, 525)	True	345399	348025	left	(840, 525)	0	testing
13	yn	m	23	circle	none	same	hori	left	N_dis	(715, 400)	True	349051	350105	left	(840, 525)	0	testing
13	yn	m	23	diamond	none	same	hori	left	N_dis	(964, 400)	True	351173	352865	left	(840, 525)	0	testing
13	yn	m	23	circle	red	same	vert	up	(664, 525)	(840, 349)	True	353891	355849	up	(840, 525)	0	testing
13	yn	m	23	circle	green	same	vert	up	(664, 525)	(715, 400)	True	356893	357913	up	(840, 525)	0	testing
13	yn	m	23	diamond	red	dif	vert	up	(664, 525)	(840, 349)	True	359100	360177	up	(840, 525)	0	testing
13	yn	m	23	circle	red	same	vert	up	(664, 525)	(964, 649)	True	361295	362601	up	(840, 525)	0	testing
13	yn	m	23	circle	none	same	hori	left	N_dis	(664, 525)	True	363687	365912	left	(840, 525)	0	testing
13	yn	m	23	circle	green	dif	hori	left	(664, 525)	(840, 349)	True	367028	368009	left	(840, 525)	0	testing
13	yn	m	23	circle	none	same	vert	up	N_dis	(715, 649)	True	369137	370289	up	(840, 525)	0	testing
13	yn	m	23	diamond	red	same	vert	up	(664, 525)	(964, 400)	True	371542	372569	up	(840, 525)	0	testing
13	yn	m	23	circle	red	same	hori	left	(664, 525)	(840, 701)	True	373713	374729	left	(840, 525)	0	testing
13	yn	m	23	diamond	none	dif	vert	up	N_dis	(715, 400)	True	375970	377137	up	(840, 525)	0	testing
13	yn	m	23	circle	red	dif	hori	left	(664, 525)	(715, 649)	True	378195	380824	left	(840, 525)	0	testing
13	yn	m	23	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	382075	383200	up	(840, 525)	0	testing
13	yn	m	23	diamond	none	same	vert	up	N_dis	(664, 525)	True	384345	385905	up	(840, 525)	0	testing
13	yn	m	23	diamond	red	same	hori	left	(664, 525)	(964, 400)	True	387067	388641	left	(840, 525)	0	testing
13	yn	m	23	diamond	red	dif	vert	up	(715, 649)	(1016, 525)	True	389686	390985	up	(840, 525)	0	testing
13	yn	m	23	diamond	green	dif	hori	left	(664, 525)	(715, 400)	True	392063	392993	left	(840, 525)	0	testing
13	yn	m	23	diamond	red	dif	hori	left	(664, 525)	(840, 701)	True	394057	396072	left	(840, 525)	0	testing
13	yn	m	23	circle	red	dif	hori	left	(664, 525)	(964, 400)	True	397181	398096	up	(840, 525)	0	testing
13	yn	m	23	diamond	red	dif	vert	up	(715, 400)	(840, 349)	True	400816	402537	up	(840, 525)	0	testing
13	yn	m	23	circle	red	same	vert	up	(664, 525)	(964, 649)	True	403616	405225	up	(840, 525)	0	testing
13	yn	m	23	circle	red	same	hori	left	(1016, 525)	(715, 400)	True	406263	407785	left	(840, 525)	0	testing
13	yn	m	23	diamond	red	dif	vert	up	(664, 525)	(964, 400)	True	408833	409809	up	(840, 525)	0	testing
13	yn	m	23	diamond	red	same	vert	up	(715, 649)	(715, 400)	True	410846	411664	up	(840, 525)	0	testing
13	yn	m	23	diamond	green	same	vert	up	(664, 525)	(840, 349)	True	412903	413728	up	(840, 525)	0	testing
13	yn	m	23	diamond	red	same	hori	left	(1016, 525)	(664, 525)	True	414914	415712	left	(840, 525)	0	testing
13	yn	m	23	circle	none	dif	vert	up	N_dis	(964, 400)	True	416782	417632	up	(840, 525)	0	testing
13	yn	m	23	circle	red	same	vert	up	(840, 349)	(1016, 525)	True	418768	419705	up	(840, 525)	0	testing
13	yn	m	23	diamond	none	same	hori	left	N_dis	(715, 400)	True	420815	421825	left	(840, 525)	0	testing
13	yn	m	23	circle	none	dif	vert	up	N_dis	(1016, 525)	True	423025	423617	up	(840, 525)	0	testing
13	yn	m	23	circle	green	same	vert	up	(664, 525)	(715, 649)	True	424694	425641	up	(840, 525)	0	testing
13	yn	m	23	diamond	none	same	vert	up	N_dis	(715, 649)	True	426665	427688	up	(840, 525)	0	testing
13	yn	m	23	diamond	red	dif	vert	up	(664, 525)	(1016, 525)	True	428910	429712	up	(840, 525)	0	testing
13	yn	m	23	diamond	none	same	hori	left	N_dis	(664, 525)	True	430940	431552	left	(840, 525)	0	testing
