subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
14	lt	m	21	circle	none	dif	hori	left	N_dis	(964, 649)	True	320710	323675	left	(840, 525)		practice
14	lt	m	21	circle	none	same	hori	left	N_dis	(715, 649)	True	324764	326131	left	(840, 525)		practice
14	lt	m	21	diamond	none	same	hori	left	N_dis	(840, 701)	True	327240	328203	left	(840, 525)		practice
14	lt	m	21	diamond	green	same	vert	up	(715, 649)	(964, 649)	True	329339	331251	up	(840, 525)		practice
14	lt	m	21	diamond	red	dif	hori	left	(715, 649)	(964, 649)	True	332270	333859	left	(840, 525)		practice
14	lt	m	21	diamond	green	dif	vert	up	(715, 649)	(964, 400)	True	334909	335916	up	(840, 525)		practice
14	lt	m	21	diamond	none	same	hori	left	N_dis	(664, 525)	True	337031	338059	left	(840, 525)		practice
14	lt	m	21	diamond	red	same	hori	left	(715, 649)	(964, 649)	True	339268	340491	left	(840, 525)		practice
14	lt	m	21	circle	red	dif	hori	left	(715, 649)	(664, 525)	True	341674	342731	up	(840, 525)		practice
14	lt	m	21	circle	red	dif	vert	up	(715, 649)	(840, 349)	True	345431	347603	up	(840, 525)		practice
14	lt	m	21	circle	red	dif	vert	up	(715, 649)	(1016, 525)	True	348809	349971	up	(840, 525)		practice
14	lt	m	21	diamond	green	dif	vert	up	(715, 649)	(964, 649)	True	351001	352483	up	(840, 525)		practice
14	lt	m	21	circle	none	dif	vert	up	N_dis	(1016, 525)	True	353630	354507	up	(840, 525)		practice
14	lt	m	21	diamond	green	same	hori	left	(715, 649)	(840, 701)	True	355688	357123	left	(840, 525)		practice
14	lt	m	21	diamond	none	dif	vert	up	N_dis	(840, 701)	True	358319	359827	up	(840, 525)		practice
14	lt	m	21	diamond	green	same	vert	up	(715, 649)	(964, 400)	True	360838	361859	up	(840, 525)		practice
14	lt	m	21	circle	green	same	hori	left	(715, 649)	(664, 525)	False	362906	None	None	(840, 525)		practice
14	lt	m	21	circle	red	same	vert	up	(715, 649)	(664, 525)	True	368513	369746	up	(840, 525)		practice
14	lt	m	21	circle	red	same	hori	left	(715, 649)	(964, 649)	True	370785	371851	left	(840, 525)		practice
14	lt	m	21	circle	none	dif	hori	left	N_dis	(1016, 525)	True	372968	373691	left	(840, 525)		practice
14	lt	m	21	circle	none	dif	vert	up	N_dis	(664, 525)	True	374808	375531	up	(840, 525)		practice
14	lt	m	21	circle	green	dif	hori	left	(715, 649)	(964, 649)	True	376770	378011	left	(840, 525)		practice
14	lt	m	21	circle	red	dif	hori	left	(715, 649)	(715, 400)	True	379137	380107	left	(840, 525)		practice
14	lt	m	21	diamond	green	dif	vert	up	(715, 649)	(715, 400)	True	381211	382083	up	(840, 525)		practice
14	lt	m	21	diamond	red	same	hori	left	(715, 649)	(840, 701)	True	383157	384250	left	(840, 525)		practice
14	lt	m	21	circle	none	same	vert	up	N_dis	(840, 701)	True	385285	386322	left	(840, 525)		practice
14	lt	m	21	diamond	red	dif	hori	left	(715, 649)	(840, 701)	True	388864	391219	left	(840, 525)		practice
14	lt	m	21	diamond	green	same	vert	up	(715, 649)	(1016, 525)	True	392385	393291	up	(840, 525)		practice
14	lt	m	21	diamond	none	same	vert	up	N_dis	(964, 649)	True	394379	395227	up	(840, 525)		practice
14	lt	m	21	circle	red	same	vert	up	(715, 649)	(715, 400)	True	396432	397795	up	(840, 525)		practice
14	lt	m	21	diamond	green	same	vert	up	(715, 649)	(964, 400)	True	398892	400442	up	(840, 525)		practice
14	lt	m	21	circle	none	dif	vert	up	N_dis	(964, 400)	True	401464	402130	up	(840, 525)		practice
14	lt	m	21	circle	none	dif	hori	left	N_dis	(840, 349)	True	403238	403970	left	(840, 525)		practice
14	lt	m	21	diamond	red	dif	vert	up	(715, 649)	(964, 400)	True	405064	405771	up	(840, 525)		practice
14	lt	m	21	circle	green	dif	hori	left	(715, 649)	(840, 349)	True	406936	407699	left	(840, 525)		practice
14	lt	m	21	circle	green	dif	hori	left	(715, 649)	(664, 525)	True	408729	409779	left	(840, 525)		practice
14	lt	m	21	circle	red	dif	hori	left	(715, 649)	(715, 400)	True	410835	411795	left	(840, 525)		practice
14	lt	m	21	circle	red	dif	vert	up	(715, 649)	(1016, 525)	True	412827	413755	up	(840, 525)		practice
14	lt	m	21	circle	none	same	vert	up	N_dis	(715, 400)	True	414835	415762	up	(840, 525)		practice
14	lt	m	21	diamond	red	dif	vert	up	(715, 649)	(1016, 525)	True	416819	417730	up	(840, 525)		practice
14	lt	m	21	circle	red	dif	vert	up	(840, 349)	(1016, 525)	True	528412	529474	up	(840, 525)	0	testing
14	lt	m	21	diamond	red	dif	hori	left	(715, 649)	(840, 701)	True	530505	531586	up	(840, 525)	0	testing
14	lt	m	21	diamond	red	dif	vert	up	(715, 649)	(664, 525)	True	534206	535146	up	(840, 525)	0	testing
14	lt	m	21	diamond	green	same	hori	left	(715, 649)	(840, 701)	True	536228	537146	left	(840, 525)	0	testing
14	lt	m	21	diamond	none	same	vert	up	N_dis	(840, 701)	True	538212	539002	up	(840, 525)	0	testing
14	lt	m	21	diamond	red	dif	vert	up	(715, 649)	(1016, 525)	True	540076	540777	up	(840, 525)	0	testing
14	lt	m	21	diamond	green	dif	vert	up	(715, 649)	(715, 400)	True	541811	542673	up	(840, 525)	0	testing
14	lt	m	21	circle	green	dif	hori	left	(715, 649)	(715, 400)	True	543844	544857	left	(840, 525)	0	testing
14	lt	m	21	circle	red	dif	hori	left	(715, 649)	(840, 349)	True	545882	546802	left	(840, 525)	0	testing
14	lt	m	21	diamond	green	dif	hori	left	(715, 400)	(715, 649)	True	547972	549370	left	(840, 525)	0	testing
14	lt	m	21	circle	red	same	vert	up	(715, 649)	(664, 525)	True	550490	551594	up	(840, 525)	0	testing
14	lt	m	21	circle	red	same	hori	left	(715, 649)	(1016, 525)	True	552633	553394	left	(840, 525)	0	testing
14	lt	m	21	diamond	green	same	hori	left	(715, 400)	(664, 525)	True	554451	555449	left	(840, 525)	0	testing
14	lt	m	21	circle	green	dif	vert	up	(715, 649)	(964, 400)	True	556636	558041	up	(840, 525)	0	testing
14	lt	m	21	circle	none	dif	vert	up	N_dis	(840, 701)	True	559064	559809	up	(840, 525)	0	testing
14	lt	m	21	diamond	green	same	vert	up	(715, 649)	(1016, 525)	True	560874	561913	up	(840, 525)	0	testing
14	lt	m	21	circle	red	same	hori	left	(715, 649)	(664, 525)	True	563015	564082	left	(840, 525)	0	testing
14	lt	m	21	diamond	green	dif	hori	left	(964, 649)	(715, 649)	True	565107	566682	left	(840, 525)	0	testing
14	lt	m	21	circle	green	same	hori	left	(840, 349)	(715, 649)	True	567903	569074	up	(840, 525)	0	testing
14	lt	m	21	circle	green	dif	hori	left	(715, 649)	(840, 349)	True	571781	572913	left	(840, 525)	0	testing
14	lt	m	21	diamond	none	same	hori	left	N_dis	(715, 649)	True	574099	574993	left	(840, 525)	0	testing
