subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
15	rf	f	28	diamond	none	dif	hori	left	N_dis	(840, 349)	False	336061	None	None	(840, 525)		practice
15	rf	f	28	circle	green	same	vert	up	(840, 701)	(964, 649)	True	341739	342803	up	(840, 525)		practice
15	rf	f	28	diamond	red	dif	vert	up	(840, 701)	(840, 349)	True	343887	345083	left	(840, 525)		practice
15	rf	f	28	diamond	red	same	vert	up	(840, 701)	(840, 349)	True	347694	349162	up	(840, 525)		practice
15	rf	f	28	diamond	red	dif	vert	up	(840, 701)	(1016, 525)	True	350397	352234	up	(840, 525)		practice
15	rf	f	28	circle	red	dif	hori	left	(840, 701)	(964, 649)	True	353419	355394	left	(840, 525)		practice
15	rf	f	28	diamond	none	dif	vert	up	N_dis	(964, 649)	True	356424	357610	up	(840, 525)		practice
15	rf	f	28	diamond	red	dif	hori	left	(840, 701)	(664, 525)	True	358750	359826	up	(840, 525)		practice
15	rf	f	28	diamond	green	same	hori	left	(840, 701)	(964, 649)	False	362423	None	None	(840, 525)		practice
15	rf	f	28	diamond	green	same	hori	left	(840, 701)	(964, 400)	True	368154	369522	up	(840, 525)		practice
15	rf	f	28	diamond	red	dif	hori	left	(840, 701)	(664, 525)	True	372155	373682	left	(840, 525)		practice
15	rf	f	28	diamond	red	same	hori	left	(840, 701)	(664, 525)	True	374793	375562	left	(840, 525)		practice
15	rf	f	28	diamond	green	dif	hori	left	(840, 701)	(715, 649)	True	376727	377851	left	(840, 525)		practice
15	rf	f	28	circle	none	same	vert	up	N_dis	(840, 701)	True	379008	380106	left	(840, 525)		practice
15	rf	f	28	diamond	none	dif	vert	up	N_dis	(964, 400)	True	382796	383866	up	(840, 525)		practice
15	rf	f	28	diamond	green	same	hori	left	(840, 701)	(715, 400)	True	384987	385698	up	(840, 525)		practice
15	rf	f	28	circle	none	same	hori	left	N_dis	(964, 400)	True	388442	389242	left	(840, 525)		practice
15	rf	f	28	circle	red	same	vert	up	(840, 701)	(964, 400)	True	390251	390906	left	(840, 525)		practice
15	rf	f	28	diamond	green	same	vert	up	(840, 701)	(964, 649)	True	393641	395106	up	(840, 525)		practice
15	rf	f	28	diamond	green	dif	hori	left	(840, 701)	(964, 400)	True	396299	397546	left	(840, 525)		practice
15	rf	f	28	diamond	none	same	vert	up	N_dis	(964, 649)	True	398721	399514	up	(840, 525)		practice
15	rf	f	28	circle	none	same	vert	up	N_dis	(664, 525)	True	400554	401466	left	(840, 525)		practice
15	rf	f	28	diamond	none	same	hori	left	N_dis	(840, 349)	True	404109	404890	left	(840, 525)		practice
15	rf	f	28	circle	none	dif	hori	left	N_dis	(1016, 525)	True	406087	407322	left	(840, 525)		practice
15	rf	f	28	diamond	green	dif	vert	up	(840, 701)	(964, 649)	True	408524	409786	up	(840, 525)		practice
15	rf	f	28	diamond	green	same	hori	left	(840, 701)	(715, 649)	True	410794	411993	left	(840, 525)		practice
15	rf	f	28	circle	green	same	hori	left	(840, 701)	(964, 400)	True	413030	413810	left	(840, 525)		practice
15	rf	f	28	diamond	green	same	hori	left	(840, 701)	(964, 400)	True	415050	415666	left	(840, 525)		practice
15	rf	f	28	circle	none	dif	vert	up	N_dis	(1016, 525)	True	416791	417730	up	(840, 525)		practice
15	rf	f	28	diamond	red	dif	vert	up	(840, 701)	(715, 649)	True	418974	420362	up	(840, 525)		practice
