subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
16	jh	m	20	circle	green	same	vert	up	(964, 649)	(715, 400)	True	185139	186593	up	(840, 525)		practice
16	jh	m	20	diamond	red	dif	vert	up	(964, 649)	(715, 649)	True	187656	189968	up	(840, 525)		practice
16	jh	m	20	circle	red	dif	hori	left	(964, 649)	(715, 400)	True	191226	192561	left	(840, 525)		practice
16	jh	m	20	diamond	green	same	hori	left	(964, 649)	(664, 525)	True	193663	194433	left	(840, 525)		practice
16	jh	m	20	diamond	none	dif	vert	up	N_dis	(664, 525)	True	195603	196201	up	(840, 525)		practice
16	jh	m	20	diamond	red	same	vert	up	(964, 649)	(715, 649)	True	197338	198201	up	(840, 525)		practice
16	jh	m	20	circle	green	same	hori	left	(964, 649)	(715, 649)	True	199311	200057	left	(840, 525)		practice
16	jh	m	20	diamond	green	same	vert	up	(964, 649)	(840, 701)	True	201266	201793	left	(840, 525)		practice
16	jh	m	20	diamond	none	same	hori	left	N_dis	(664, 525)	True	204556	205240	left	(840, 525)		practice
16	jh	m	20	circle	green	same	hori	left	(964, 649)	(715, 400)	True	206293	207232	left	(840, 525)		practice
16	jh	m	20	diamond	red	dif	vert	up	(964, 649)	(1016, 525)	True	208462	209528	up	(840, 525)		practice
16	jh	m	20	circle	red	dif	vert	up	(964, 649)	(840, 349)	True	210672	211609	up	(840, 525)		practice
16	jh	m	20	diamond	none	dif	hori	left	N_dis	(1016, 525)	True	212834	213761	left	(840, 525)		practice
16	jh	m	20	circle	green	dif	hori	left	(964, 649)	(840, 701)	True	214877	215649	left	(840, 525)		practice
16	jh	m	20	circle	none	dif	hori	left	N_dis	(664, 525)	True	216767	217345	left	(840, 525)		practice
16	jh	m	20	diamond	green	dif	hori	left	(964, 649)	(840, 349)	True	218411	219257	left	(840, 525)		practice
16	jh	m	20	circle	none	same	vert	up	N_dis	(715, 400)	True	220451	221144	up	(840, 525)		practice
16	jh	m	20	diamond	green	same	vert	up	(964, 649)	(664, 525)	True	222263	223160	up	(840, 525)		practice
16	jh	m	20	diamond	none	same	hori	left	N_dis	(840, 701)	True	224308	224920	left	(840, 525)		practice
