subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
17	kr	f	26	circle	green	dif	hori	left	(1016, 525)	(840, 349)	True	306842	308325	up	(840, 525)		practice
17	kr	f	26	diamond	none	same	vert	up	N_dis	(715, 649)	True	310883	313268	up	(840, 525)		practice
17	kr	f	26	circle	none	dif	hori	left	N_dis	(664, 525)	True	314278	316436	left	(840, 525)		practice
17	kr	f	26	circle	none	dif	vert	up	N_dis	(840, 349)	True	317609	320060	up	(840, 525)		practice
17	kr	f	26	circle	red	same	hori	left	(1016, 525)	(715, 649)	False	321094	None	None	(840, 525)		practice
17	kr	f	26	diamond	none	dif	vert	up	N_dis	(840, 701)	True	326745	328148	left	(840, 525)		practice
17	kr	f	26	circle	red	dif	vert	up	(1016, 525)	(840, 701)	True	330770	332364	up	(840, 525)		practice
17	kr	f	26	diamond	green	same	hori	left	(1016, 525)	(715, 400)	True	333606	335308	left	(840, 525)		practice
17	kr	f	26	diamond	none	dif	hori	left	N_dis	(840, 349)	True	336568	337556	left	(840, 525)		practice
17	kr	f	26	diamond	red	same	vert	up	(1016, 525)	(840, 701)	True	338714	340085	up	(840, 525)		practice
17	kr	f	26	diamond	green	dif	vert	up	(1016, 525)	(964, 400)	True	341313	343156	up	(840, 525)		practice
17	kr	f	26	circle	green	dif	vert	up	(1016, 525)	(715, 649)	True	344197	346084	up	(840, 525)		practice
17	kr	f	26	diamond	none	same	hori	left	N_dis	(840, 701)	True	347304	348932	left	(840, 525)		practice
17	kr	f	26	diamond	red	dif	vert	up	(1016, 525)	(840, 349)	True	350183	351788	up	(840, 525)		practice
17	kr	f	26	circle	green	same	hori	left	(1016, 525)	(664, 525)	True	352842	354644	left	(840, 525)		practice
17	kr	f	26	circle	none	dif	vert	up	N_dis	(840, 349)	True	355823	358748	up	(840, 525)		practice
17	kr	f	26	circle	none	same	hori	left	N_dis	(840, 701)	True	359825	361068	left	(840, 525)		practice
17	kr	f	26	diamond	red	same	hori	left	(1016, 525)	(715, 400)	True	362147	363620	left	(840, 525)		practice
17	kr	f	26	circle	none	same	vert	up	N_dis	(715, 400)	True	364707	366316	up	(840, 525)		practice
17	kr	f	26	circle	red	same	vert	up	(1016, 525)	(715, 649)	True	367340	368748	up	(840, 525)		practice
17	kr	f	26	circle	red	dif	vert	up	(1016, 525)	(840, 701)	True	369813	371284	up	(840, 525)		practice
17	kr	f	26	circle	red	dif	vert	up	(1016, 525)	(840, 701)	False	372504	None	None	(840, 525)		practice
17	kr	f	26	circle	none	same	vert	up	N_dis	(1016, 525)	True	378051	379972	up	(840, 525)		practice
17	kr	f	26	diamond	none	same	vert	up	N_dis	(664, 525)	True	381020	382716	up	(840, 525)		practice
17	kr	f	26	diamond	red	same	hori	left	(1016, 525)	(715, 649)	True	383810	385148	left	(840, 525)		practice
17	kr	f	26	diamond	red	dif	hori	left	(1016, 525)	(664, 525)	True	386193	387324	left	(840, 525)		practice
17	kr	f	26	diamond	red	same	vert	up	(1016, 525)	(964, 400)	True	388456	389779	up	(840, 525)		practice
17	kr	f	26	diamond	green	dif	hori	left	(1016, 525)	(715, 400)	True	390908	391868	left	(840, 525)		practice
17	kr	f	26	circle	red	same	vert	up	(1016, 525)	(840, 349)	True	392985	394396	left	(840, 525)		practice
17	kr	f	26	circle	none	dif	hori	left	N_dis	(840, 349)	True	397006	398756	left	(840, 525)		practice
17	kr	f	26	circle	green	same	vert	up	(1016, 525)	(715, 400)	True	399789	400780	up	(840, 525)		practice
17	kr	f	26	diamond	none	dif	hori	left	N_dis	(964, 649)	True	401839	403212	left	(840, 525)		practice
17	kr	f	26	circle	red	same	vert	up	(1016, 525)	(964, 649)	True	404288	406443	up	(840, 525)		practice
17	kr	f	26	diamond	none	dif	vert	up	N_dis	(715, 649)	True	407551	409068	up	(840, 525)		practice
17	kr	f	26	circle	green	same	vert	up	(1016, 525)	(840, 701)	True	410273	412668	up	(840, 525)		practice
17	kr	f	26	circle	green	same	vert	up	(1016, 525)	(715, 649)	True	413761	414756	up	(840, 525)		practice
17	kr	f	26	circle	red	dif	hori	left	(1016, 525)	(964, 400)	True	415768	416588	left	(840, 525)		practice
17	kr	f	26	diamond	red	dif	vert	up	(1016, 525)	(964, 649)	True	417699	418852	left	(840, 525)		practice
17	kr	f	26	circle	green	dif	hori	left	(1016, 525)	(964, 400)	True	421573	424075	left	(840, 525)		practice
17	kr	f	26	circle	red	dif	vert	up	(1016, 525)	(715, 400)	True	425104	426115	up	(840, 525)		practice
17	kr	f	26	diamond	green	same	vert	up	(1016, 525)	(964, 649)	False	430503	None	None	(840, 525)	0	testing
17	kr	f	26	diamond	green	same	vert	up	(964, 649)	(840, 701)	True	436171	437107	up	(840, 525)	0	testing
17	kr	f	26	diamond	red	same	hori	left	(840, 701)	(1016, 525)	True	438124	439155	left	(840, 525)	0	testing
17	kr	f	26	diamond	none	dif	vert	up	N_dis	(715, 649)	True	440284	441907	up	(840, 525)	0	testing
17	kr	f	26	circle	none	dif	hori	left	N_dis	(664, 525)	True	442991	444460	left	(840, 525)	0	testing
17	kr	f	26	diamond	none	dif	vert	up	N_dis	(715, 649)	True	445624	447484	up	(840, 525)	0	testing
17	kr	f	26	diamond	none	same	hori	left	N_dis	(715, 400)	True	448530	449820	left	(840, 525)	0	testing
17	kr	f	26	circle	green	dif	vert	up	(840, 349)	(1016, 525)	True	450985	452435	up	(840, 525)	0	testing
17	kr	f	26	circle	red	dif	hori	left	(1016, 525)	(840, 701)	True	453603	454691	left	(840, 525)	0	testing
17	kr	f	26	diamond	green	dif	hori	left	(840, 349)	(1016, 525)	True	455848	457147	left	(840, 525)	0	testing
17	kr	f	26	diamond	green	dif	vert	up	(964, 400)	(1016, 525)	True	458242	459467	up	(840, 525)	0	testing
17	kr	f	26	diamond	green	dif	hori	left	(715, 649)	(1016, 525)	True	460524	462028	left	(840, 525)	0	testing
