subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
18	ly	m	25	diamond	none	dif	hori	left	N_dis	(964, 649)	False	51291	None	None	(840, 525)		practice
18	ly	m	25	diamond	none	dif	hori	left	N_dis	(840, 701)	False	57011	None	None	(840, 525)		practice
18	ly	m	25	circle	none	dif	vert	up	N_dis	(664, 525)	False	62747	None	None	(840, 525)		practice
18	ly	m	25	diamond	red	dif	hori	left	(964, 400)	(715, 400)	True	68457	70918	up	(840, 525)		practice
18	ly	m	25	circle	green	same	vert	up	(964, 400)	(1016, 525)	True	73645	74950	up	(840, 525)		practice
18	ly	m	25	circle	red	dif	vert	up	(964, 400)	(715, 649)	True	75977	77095	up	(840, 525)		practice
18	ly	m	25	diamond	none	same	hori	left	N_dis	(715, 400)	True	78261	79255	left	(840, 525)		practice
18	ly	m	25	circle	red	dif	vert	up	(964, 400)	(964, 649)	True	80334	81335	up	(840, 525)		practice
18	ly	m	25	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	82524	83470	left	(840, 525)		practice
18	ly	m	25	diamond	green	same	hori	left	(964, 400)	(840, 701)	False	86145	None	None	(840, 525)		practice
18	ly	m	25	diamond	none	same	hori	left	N_dis	(964, 400)	False	91830	None	None	(840, 525)		practice
18	ly	m	25	circle	none	same	vert	up	N_dis	(964, 400)	False	97544	None	None	(840, 525)		practice
18	ly	m	25	diamond	none	dif	hori	left	N_dis	(715, 649)	True	103165	104062	up	(840, 525)		practice
18	ly	m	25	circle	red	same	hori	left	(964, 400)	(664, 525)	True	106819	109646	up	(840, 525)		practice
18	ly	m	25	circle	green	dif	vert	up	(964, 400)	(664, 525)	True	112374	113166	up	(840, 525)		practice
18	ly	m	25	circle	green	dif	vert	up	(964, 400)	(964, 649)	True	114324	115214	up	(840, 525)		practice
18	ly	m	25	circle	red	same	hori	left	(964, 400)	(664, 525)	True	116452	117126	up	(840, 525)		practice
18	ly	m	25	diamond	none	same	vert	up	N_dis	(840, 349)	False	119740	None	None	(840, 525)		practice
18	ly	m	25	circle	green	dif	hori	left	(964, 400)	(715, 649)	True	125265	126126	up	(840, 525)		practice
18	ly	m	25	circle	green	dif	hori	left	(964, 400)	(715, 649)	True	128668	129358	left	(840, 525)		practice
18	ly	m	25	circle	none	dif	hori	left	N_dis	(840, 701)	False	130400	None	None	(840, 525)		practice
18	ly	m	25	circle	green	dif	vert	up	(964, 400)	(840, 701)	True	136109	137278	up	(840, 525)		practice
18	ly	m	25	circle	green	dif	hori	left	(964, 400)	(964, 649)	False	138527	None	None	(840, 525)		practice
18	ly	m	25	diamond	red	same	hori	left	(964, 400)	(840, 349)	True	144237	145005	left	(840, 525)		practice
18	ly	m	25	circle	none	dif	vert	up	N_dis	(715, 649)	True	146080	147086	left	(840, 525)		practice
18	ly	m	25	circle	none	same	hori	left	N_dis	(715, 400)	True	149632	150462	left	(840, 525)		practice
18	ly	m	25	circle	none	same	hori	left	N_dis	(840, 349)	True	151651	152894	up	(840, 525)		practice
18	ly	m	25	circle	red	dif	vert	up	(964, 400)	(840, 701)	True	155415	156214	left	(840, 525)		practice
18	ly	m	25	diamond	red	same	hori	left	(964, 400)	(1016, 525)	True	158814	161293	up	(840, 525)		practice
18	ly	m	25	diamond	red	dif	vert	up	(964, 400)	(964, 649)	True	163904	164854	left	(840, 525)		practice
18	ly	m	25	circle	none	same	vert	up	N_dis	(664, 525)	False	167588	None	None	(840, 525)		practice
18	ly	m	25	circle	green	same	hori	left	(964, 400)	(715, 400)	True	173151	175581	left	(840, 525)		practice
18	ly	m	25	diamond	none	same	hori	left	N_dis	(664, 525)	True	176664	177405	left	(840, 525)		practice
18	ly	m	25	diamond	green	dif	vert	up	(964, 400)	(1016, 525)	False	178422	None	None	(840, 525)		practice
18	ly	m	25	circle	red	same	vert	up	(964, 400)	(1016, 525)	True	184016	185766	left	(840, 525)		practice
18	ly	m	25	circle	red	same	vert	up	(964, 400)	(715, 400)	True	188446	190294	left	(840, 525)		practice
18	ly	m	25	diamond	green	same	vert	up	(964, 400)	(664, 525)	True	192948	193733	left	(840, 525)		practice
18	ly	m	25	diamond	none	same	hori	left	N_dis	(664, 525)	True	196397	197117	left	(840, 525)		practice
18	ly	m	25	circle	green	dif	vert	up	(964, 400)	(840, 349)	True	198150	199854	left	(840, 525)		practice
18	ly	m	25	diamond	green	same	vert	up	(964, 400)	(840, 701)	True	202491	203742	left	(840, 525)		practice
18	ly	m	25	circle	green	dif	hori	left	(964, 400)	(715, 649)	True	509271	510107	up	(840, 525)	0	testing
18	ly	m	25	circle	green	dif	vert	up	(964, 400)	(964, 649)	True	512749	513643	left	(840, 525)	0	testing
18	ly	m	25	circle	none	same	vert	up	N_dis	(964, 400)	True	516331	517668	up	(840, 525)	0	testing
18	ly	m	25	diamond	red	same	vert	up	(964, 400)	(715, 649)	True	518822	520411	up	(840, 525)	0	testing
18	ly	m	25	circle	green	dif	hori	left	(964, 649)	(715, 649)	True	521448	524099	left	(840, 525)	0	testing
18	ly	m	25	diamond	none	same	vert	up	N_dis	(840, 349)	True	525133	526331	up	(840, 525)	0	testing
18	ly	m	25	diamond	red	dif	vert	up	(964, 400)	(964, 649)	True	527417	529083	up	(840, 525)	0	testing
18	ly	m	25	diamond	green	dif	vert	up	(964, 400)	(715, 649)	True	530129	531292	left	(840, 525)	0	testing
18	ly	m	25	diamond	red	dif	hori	left	(715, 400)	(840, 701)	True	533901	534811	up	(840, 525)	0	testing
18	ly	m	25	circle	red	same	hori	left	(964, 400)	(664, 525)	True	537375	538219	left	(840, 525)	0	testing
18	ly	m	25	circle	red	same	vert	up	(964, 400)	(715, 400)	True	539268	540259	up	(840, 525)	0	testing
18	ly	m	25	circle	green	dif	hori	left	(964, 400)	(964, 649)	True	541354	542251	left	(840, 525)	0	testing
18	ly	m	25	diamond	red	same	hori	left	(664, 525)	(964, 400)	True	543318	545083	up	(840, 525)	0	testing
18	ly	m	25	diamond	green	same	vert	up	(964, 400)	(664, 525)	True	547700	548756	up	(840, 525)	0	testing
