subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
19	ge	f	30	circle	none	same	vert	up	N_dis	(715, 400)	False	461447	None	None	(840, 525)		practice
19	ge	f	30	circle	red	same	hori	left	(840, 349)	(1016, 525)	True	467136	469268	left	(840, 525)		practice
19	ge	f	30	diamond	red	same	hori	left	(840, 349)	(964, 400)	False	470341	None	None	(840, 525)		practice
19	ge	f	30	circle	none	dif	hori	left	N_dis	(840, 349)	True	475980	477605	left	(840, 525)		practice
19	ge	f	30	circle	green	same	hori	left	(840, 349)	(715, 649)	True	478628	480317	left	(840, 525)		practice
19	ge	f	30	circle	none	same	hori	left	N_dis	(715, 400)	True	481342	482525	left	(840, 525)		practice
19	ge	f	30	circle	none	dif	hori	left	N_dis	(1016, 525)	True	483686	484804	left	(840, 525)		practice
19	ge	f	30	circle	none	dif	vert	up	N_dis	(964, 649)	True	485869	486692	up	(840, 525)		practice
19	ge	f	30	diamond	red	dif	hori	left	(840, 349)	(840, 701)	True	487779	488716	up	(840, 525)		practice
19	ge	f	30	diamond	green	dif	vert	up	(840, 349)	(964, 400)	True	491475	493836	up	(840, 525)		practice
19	ge	f	30	diamond	green	same	hori	left	(840, 349)	(1016, 525)	True	494848	496901	left	(840, 525)		practice
19	ge	f	30	diamond	red	dif	hori	left	(840, 349)	(715, 400)	False	498091	None	None	(840, 525)		practice
19	ge	f	30	circle	green	same	vert	up	(840, 349)	(964, 400)	True	503702	506172	up	(840, 525)		practice
19	ge	f	30	circle	none	dif	vert	up	N_dis	(840, 701)	True	507343	508500	up	(840, 525)		practice
19	ge	f	30	diamond	green	same	vert	up	(840, 349)	(964, 649)	True	509563	511548	up	(840, 525)		practice
19	ge	f	30	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	512711	513453	up	(840, 525)		practice
19	ge	f	30	diamond	none	dif	vert	up	N_dis	(840, 701)	True	514686	515356	up	(840, 525)		practice
19	ge	f	30	circle	green	same	hori	left	(840, 349)	(964, 649)	True	516367	517180	left	(840, 525)		practice
19	ge	f	30	circle	red	same	hori	left	(840, 349)	(664, 525)	True	518292	520388	left	(840, 525)		practice
19	ge	f	30	diamond	none	same	hori	left	N_dis	(715, 649)	True	521585	524212	left	(840, 525)		practice
19	ge	f	30	diamond	none	same	hori	left	N_dis	(664, 525)	True	525357	527788	left	(840, 525)		practice
19	ge	f	30	diamond	red	dif	vert	up	(840, 349)	(715, 649)	True	528860	529956	up	(840, 525)		practice
19	ge	f	30	circle	red	same	hori	left	(840, 349)	(664, 525)	True	531195	532300	left	(840, 525)		practice
19	ge	f	30	circle	green	dif	hori	left	(840, 349)	(715, 649)	True	533430	534252	left	(840, 525)		practice
19	ge	f	30	diamond	red	dif	vert	up	(840, 349)	(715, 649)	True	535388	536892	up	(840, 525)		practice
19	ge	f	30	diamond	green	same	hori	left	(840, 349)	(1016, 525)	True	538149	539060	left	(840, 525)		practice
