subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
1	uc	m	22	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	129346	131564	up	(840, 525)		practice
1	uc	m	22	diamond	red	dif	hori	left	(1016, 525)	(964, 400)	False	132722	None	None	(840, 525)		practice
1	uc	m	22	circle	red	dif	vert	up	(1016, 525)	(964, 649)	True	138406	139893	up	(840, 525)		practice
1	uc	m	22	circle	none	dif	hori	left	N_dis	(715, 649)	True	141024	142325	left	(840, 525)		practice
1	uc	m	22	circle	red	dif	vert	up	(1016, 525)	(840, 701)	True	143419	146084	up	(840, 525)		practice
1	uc	m	22	circle	red	same	hori	left	(1016, 525)	(715, 400)	True	147099	149180	left	(840, 525)		practice
1	uc	m	22	circle	red	same	hori	left	(1016, 525)	(964, 400)	True	150207	151404	left	(840, 525)		practice
1	uc	m	22	circle	green	dif	hori	left	(1016, 525)	(664, 525)	True	152610	153580	left	(840, 525)		practice
1	uc	m	22	circle	red	same	vert	up	(1016, 525)	(964, 649)	True	154716	155965	up	(840, 525)		practice
1	uc	m	22	circle	red	dif	hori	left	(1016, 525)	(664, 525)	True	157216	158580	left	(840, 525)		practice
1	uc	m	22	diamond	none	same	vert	up	N_dis	(840, 349)	True	159767	161884	up	(840, 525)		practice
1	uc	m	22	diamond	green	dif	vert	up	(1016, 525)	(840, 701)	True	163009	165204	up	(840, 525)		practice
1	uc	m	22	circle	green	dif	hori	left	(1016, 525)	(715, 400)	True	166293	167668	left	(840, 525)		practice
1	uc	m	22	circle	none	dif	vert	up	N_dis	(1016, 525)	True	168780	170476	up	(840, 525)		practice
1	uc	m	22	circle	green	dif	hori	left	(1016, 525)	(715, 649)	True	171554	173108	left	(840, 525)		practice
1	uc	m	22	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	174153	176060	up	(840, 525)		practice
1	uc	m	22	circle	none	same	hori	left	N_dis	(664, 525)	True	177136	178692	left	(840, 525)		practice
1	uc	m	22	circle	red	dif	hori	left	(1016, 525)	(715, 649)	True	179911	181308	left	(840, 525)		practice
1	uc	m	22	circle	none	dif	hori	left	N_dis	(964, 649)	True	182430	184316	left	(840, 525)		practice
1	uc	m	22	diamond	none	dif	hori	left	N_dis	(1016, 525)	True	185574	187052	left	(840, 525)		practice
1	uc	m	22	diamond	red	same	vert	up	(1016, 525)	(664, 525)	True	188269	190147	up	(840, 525)		practice
1	uc	m	22	circle	green	dif	vert	up	(1016, 525)	(840, 701)	True	191183	192532	up	(840, 525)		practice
1	uc	m	22	circle	green	dif	vert	up	(1016, 525)	(664, 525)	True	193590	194628	up	(840, 525)		practice
1	uc	m	22	diamond	green	dif	hori	left	(1016, 525)	(715, 400)	True	195785	196852	left	(840, 525)		practice
1	uc	m	22	circle	red	dif	vert	up	(1016, 525)	(840, 349)	True	197882	199636	left	(840, 525)		practice
1	uc	m	22	diamond	none	same	vert	up	N_dis	(715, 649)	True	202174	204164	up	(840, 525)		practice
1	uc	m	22	diamond	none	same	vert	up	N_dis	(715, 400)	True	205297	206883	up	(840, 525)		practice
1	uc	m	22	diamond	none	dif	vert	up	N_dis	(840, 701)	True	207905	209916	up	(840, 525)		practice
1	uc	m	22	circle	none	same	vert	up	N_dis	(715, 649)	True	210946	212196	up	(840, 525)		practice
