subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
21	je	m	18	diamond	red	dif	hori	left	(664, 525)	(840, 349)	True	217764	218918	left	(840, 525)		practice
21	je	m	18	diamond	red	dif	hori	left	(664, 525)	(964, 649)	True	220063	220782	left	(840, 525)		practice
21	je	m	18	diamond	none	dif	hori	left	N_dis	(664, 525)	True	222009	222566	left	(840, 525)		practice
21	je	m	18	circle	red	dif	vert	up	(664, 525)	(715, 649)	True	223683	224294	up	(840, 525)		practice
21	je	m	18	diamond	green	dif	hori	left	(664, 525)	(964, 649)	True	225399	226126	left	(840, 525)		practice
21	je	m	18	circle	red	dif	vert	up	(664, 525)	(840, 349)	True	227160	228382	up	(840, 525)		practice
21	je	m	18	diamond	red	same	vert	up	(664, 525)	(964, 649)	True	229512	230813	up	(840, 525)		practice
21	je	m	18	diamond	green	dif	vert	up	(664, 525)	(840, 701)	True	231869	233806	up	(840, 525)		practice
21	je	m	18	circle	none	same	hori	left	N_dis	(715, 649)	True	235000	235990	left	(840, 525)		practice
21	je	m	18	circle	green	same	vert	up	(664, 525)	(840, 349)	True	237018	238238	up	(840, 525)		practice
21	je	m	18	diamond	none	dif	hori	left	N_dis	(840, 349)	True	239282	240086	left	(840, 525)		practice
21	je	m	18	diamond	red	same	vert	up	(664, 525)	(840, 701)	True	241225	241894	up	(840, 525)		practice
21	je	m	18	diamond	green	same	vert	up	(664, 525)	(840, 349)	True	243134	243630	up	(840, 525)		practice
21	je	m	18	circle	none	dif	hori	left	N_dis	(1016, 525)	True	244719	245318	left	(840, 525)		practice
21	je	m	18	diamond	green	same	hori	left	(664, 525)	(715, 649)	True	246428	247277	up	(840, 525)		practice
21	je	m	18	diamond	none	same	hori	left	N_dis	(1016, 525)	True	249899	250574	left	(840, 525)		practice
21	je	m	18	circle	green	same	hori	left	(664, 525)	(1016, 525)	True	251811	252854	left	(840, 525)		practice
21	je	m	18	diamond	none	dif	vert	up	N_dis	(840, 349)	True	254105	254942	up	(840, 525)		practice
21	je	m	18	circle	red	dif	vert	up	(664, 525)	(840, 349)	True	255987	256926	up	(840, 525)		practice
21	je	m	18	circle	green	dif	vert	up	(664, 525)	(840, 701)	True	257949	259046	left	(840, 525)		practice
21	je	m	18	circle	none	same	hori	left	N_dis	(715, 649)	True	261685	262453	left	(840, 525)		practice
21	je	m	18	circle	red	same	hori	left	(664, 525)	(715, 649)	True	263548	264413	left	(840, 525)		practice
21	je	m	18	circle	red	same	vert	up	(664, 525)	(1016, 525)	False	265474	None	None	(840, 525)		practice
21	je	m	18	circle	none	same	hori	left	N_dis	(664, 525)	True	271053	271654	left	(840, 525)		practice
21	je	m	18	diamond	none	same	hori	left	N_dis	(964, 400)	True	272823	274734	left	(840, 525)		practice
21	je	m	18	diamond	red	same	vert	up	(664, 525)	(964, 649)	True	275771	276670	up	(840, 525)		practice
21	je	m	18	diamond	green	same	vert	up	(664, 525)	(964, 649)	True	277704	278309	up	(840, 525)		practice
21	je	m	18	diamond	green	dif	hori	left	(664, 525)	(715, 400)	True	279545	280853	left	(840, 525)		practice
21	je	m	18	circle	red	dif	hori	left	(664, 525)	(840, 701)	True	282067	282845	left	(840, 525)		practice
21	je	m	18	diamond	red	dif	vert	up	(664, 525)	(1016, 525)	True	284058	284885	up	(840, 525)		practice
21	je	m	18	circle	green	same	hori	left	(664, 525)	(715, 400)	True	286099	286974	left	(840, 525)		practice
21	je	m	18	diamond	green	dif	vert	up	(664, 525)	(840, 701)	True	288199	288854	up	(840, 525)		practice
21	je	m	18	circle	green	dif	vert	up	(664, 525)	(1016, 525)	True	290049	290886	up	(840, 525)		practice
21	je	m	18	circle	none	dif	vert	up	N_dis	(715, 400)	True	292127	292821	up	(840, 525)		practice
21	je	m	18	circle	green	same	hori	left	(664, 525)	(840, 349)	True	293999	294573	left	(840, 525)		practice
21	je	m	18	diamond	red	same	hori	left	(664, 525)	(964, 400)	True	295634	296853	left	(840, 525)		practice
21	je	m	18	diamond	green	same	vert	up	(664, 525)	(840, 701)	True	298041	298909	up	(840, 525)		practice
21	je	m	18	circle	green	dif	vert	up	(664, 525)	(715, 400)	True	299962	300829	up	(840, 525)		practice
21	je	m	18	circle	red	same	vert	up	(664, 525)	(715, 400)	True	301973	302894	up	(840, 525)		practice
21	je	m	18	diamond	none	same	vert	up	N_dis	(964, 649)	True	303904	304662	left	(840, 525)		practice
21	je	m	18	circle	red	dif	vert	up	(664, 525)	(840, 349)	True	311161	311829	up	(840, 525)	0	testing
21	je	m	18	circle	red	same	vert	up	(1016, 525)	(715, 400)	True	313053	313749	up	(840, 525)	0	testing
21	je	m	18	diamond	red	same	hori	left	(715, 400)	(964, 400)	True	314864	315773	left	(840, 525)	0	testing
