subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
23	ht	m	28	circle	none	same	hori	left	N_dis	(664, 525)	False	68785	None	None	(840, 525)		practice
23	ht	m	28	circle	red	same	vert	up	(840, 701)	(664, 525)	False	74564	None	None	(840, 525)		practice
23	ht	m	28	circle	red	dif	vert	up	(840, 701)	(964, 649)	False	80249	None	None	(840, 525)		practice
23	ht	m	28	circle	red	same	hori	left	(840, 701)	(715, 400)	False	85953	None	None	(840, 525)		practice
23	ht	m	28	diamond	none	same	hori	left	N_dis	(715, 649)	False	91702	None	None	(840, 525)		practice
23	ht	m	28	circle	none	dif	hori	left	N_dis	(1016, 525)	False	97345	None	None	(840, 525)		practice
23	ht	m	28	circle	red	dif	hori	left	(840, 701)	(840, 349)	False	103099	None	None	(840, 525)		practice
23	ht	m	28	diamond	red	same	hori	left	(840, 701)	(964, 649)	False	108620	None	None	(840, 525)		practice
23	ht	m	28	diamond	none	same	vert	up	N_dis	(715, 649)	False	114180	None	None	(840, 525)		practice
23	ht	m	28	diamond	green	same	hori	left	(840, 701)	(1016, 525)	False	119932	None	None	(840, 525)		practice
23	ht	m	28	circle	none	same	hori	left	N_dis	(840, 701)	False	125511	None	None	(840, 525)		practice
23	ht	m	28	diamond	none	dif	hori	left	N_dis	(1016, 525)	False	131094	None	None	(840, 525)		practice
23	ht	m	28	diamond	none	dif	hori	left	N_dis	(715, 649)	False	136756	None	None	(840, 525)		practice
23	ht	m	28	circle	none	dif	hori	left	N_dis	(715, 400)	False	142405	None	None	(840, 525)		practice
23	ht	m	28	circle	none	dif	vert	up	N_dis	(964, 400)	False	148064	None	None	(840, 525)		practice
23	ht	m	28	circle	red	dif	vert	up	(840, 701)	(715, 400)	False	153657	None	None	(840, 525)		practice
23	ht	m	28	diamond	green	dif	hori	left	(840, 701)	(715, 400)	False	159300	None	None	(840, 525)		practice
23	ht	m	28	diamond	green	same	vert	up	(840, 701)	(664, 525)	False	165051	None	None	(840, 525)		practice
23	ht	m	28	circle	green	same	hori	left	(840, 701)	(715, 400)	False	170604	None	None	(840, 525)		practice
23	ht	m	28	diamond	none	same	vert	up	N_dis	(840, 349)	False	176150	None	None	(840, 525)		practice
23	ht	m	28	circle	green	dif	hori	left	(840, 701)	(664, 525)	False	181728	None	None	(840, 525)		practice
23	ht	m	28	diamond	red	dif	hori	left	(840, 701)	(715, 400)	False	187351	None	None	(840, 525)		practice
23	ht	m	28	circle	green	dif	vert	up	(840, 701)	(840, 349)	False	192976	None	None	(840, 525)		practice
23	ht	m	28	circle	red	same	vert	up	(840, 701)	(664, 525)	False	198636	None	None	(840, 525)		practice
23	ht	m	28	circle	red	dif	hori	left	(840, 701)	(715, 649)	False	204261	None	None	(840, 525)		practice
23	ht	m	28	circle	green	same	vert	up	(840, 701)	(964, 649)	False	209833	None	None	(840, 525)		practice
23	ht	m	28	diamond	red	same	hori	left	(840, 701)	(964, 400)	False	215495	None	None	(840, 525)		practice
23	ht	m	28	circle	none	same	vert	up	N_dis	(715, 400)	False	221040	None	None	(840, 525)		practice
23	ht	m	28	circle	red	dif	vert	up	(840, 701)	(664, 525)	False	226632	None	None	(840, 525)		practice
23	ht	m	28	circle	green	dif	vert	up	(840, 701)	(1016, 525)	False	232231	None	None	(840, 525)		practice
23	ht	m	28	circle	green	dif	vert	up	(840, 701)	(840, 349)	False	237757	None	None	(840, 525)		practice
23	ht	m	28	diamond	none	dif	vert	up	N_dis	(840, 349)	False	243364	None	None	(840, 525)		practice
23	ht	m	28	diamond	none	dif	vert	up	N_dis	(664, 525)	False	248907	None	None	(840, 525)		practice
