subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
24	rd	f	22	diamond	green	same	hori	left	(964, 649)	(840, 701)	True	104788	107777	left	(840, 525)		practice
24	rd	f	22	diamond	none	dif	hori	left	N_dis	(964, 649)	True	108890	110081	up	(840, 525)		practice
24	rd	f	22	circle	red	dif	hori	left	(964, 649)	(664, 525)	True	112799	114753	left	(840, 525)		practice
24	rd	f	22	diamond	green	dif	hori	left	(964, 649)	(964, 400)	True	115863	117898	left	(840, 525)		practice
24	rd	f	22	circle	none	dif	hori	left	N_dis	(840, 701)	True	118929	120266	left	(840, 525)		practice
24	rd	f	22	circle	green	dif	hori	left	(964, 649)	(664, 525)	True	121442	122977	left	(840, 525)		practice
24	rd	f	22	diamond	red	same	vert	up	(964, 649)	(840, 349)	True	124186	125369	up	(840, 525)		practice
24	rd	f	22	diamond	green	dif	vert	up	(964, 649)	(840, 349)	True	126575	127681	up	(840, 525)		practice
24	rd	f	22	circle	red	same	hori	left	(964, 649)	(715, 649)	True	128892	130057	left	(840, 525)		practice
24	rd	f	22	circle	none	same	hori	left	N_dis	(715, 649)	True	131080	131793	left	(840, 525)		practice
24	rd	f	22	diamond	none	dif	vert	up	N_dis	(840, 701)	True	132963	133970	up	(840, 525)		practice
24	rd	f	22	circle	red	dif	hori	left	(964, 649)	(840, 349)	True	135139	135882	up	(840, 525)		practice
24	rd	f	22	circle	none	same	hori	left	N_dis	(840, 349)	True	138524	139825	left	(840, 525)		practice
24	rd	f	22	diamond	green	same	hori	left	(964, 649)	(664, 525)	True	140959	142193	left	(840, 525)		practice
24	rd	f	22	diamond	none	same	vert	up	N_dis	(840, 701)	True	143375	144409	up	(840, 525)		practice
24	rd	f	22	diamond	green	same	hori	left	(964, 649)	(840, 701)	True	145480	146849	up	(840, 525)		practice
24	rd	f	22	circle	green	dif	hori	left	(964, 649)	(840, 701)	True	149515	150922	left	(840, 525)		practice
24	rd	f	22	circle	red	dif	vert	up	(964, 649)	(1016, 525)	True	152007	154433	up	(840, 525)		practice
24	rd	f	22	diamond	none	same	hori	left	N_dis	(664, 525)	True	155596	156601	left	(840, 525)		practice
24	rd	f	22	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	157641	159097	up	(840, 525)		practice
24	rd	f	22	diamond	red	same	hori	left	(964, 649)	(715, 400)	True	160216	161953	left	(840, 525)		practice
24	rd	f	22	diamond	red	same	vert	up	(964, 649)	(840, 349)	True	163006	163945	up	(840, 525)		practice
24	rd	f	22	circle	green	same	hori	left	(964, 649)	(715, 400)	True	165128	166225	left	(840, 525)		practice
24	rd	f	22	circle	none	same	vert	up	N_dis	(964, 649)	True	167277	168386	up	(840, 525)		practice
24	rd	f	22	diamond	green	same	hori	left	(964, 649)	(715, 400)	True	169546	170425	left	(840, 525)		practice
24	rd	f	22	circle	red	dif	hori	left	(964, 649)	(664, 525)	True	171521	172449	left	(840, 525)		practice
24	rd	f	22	diamond	red	dif	hori	left	(964, 649)	(715, 649)	True	173511	174625	left	(840, 525)		practice
24	rd	f	22	circle	none	dif	vert	up	N_dis	(964, 400)	True	175733	177073	up	(840, 525)		practice
24	rd	f	22	circle	none	dif	hori	left	N_dis	(964, 649)	True	178319	179185	left	(840, 525)		practice
24	rd	f	22	circle	none	same	hori	left	N_dis	(1016, 525)	True	180321	181169	left	(840, 525)		practice
24	rd	f	22	circle	none	dif	vert	up	N_dis	(840, 349)	True	182320	183185	up	(840, 525)		practice
24	rd	f	22	circle	green	same	vert	up	(964, 649)	(964, 400)	True	184338	185569	up	(840, 525)		practice
24	rd	f	22	circle	red	same	hori	left	(964, 649)	(664, 525)	True	186708	187401	left	(840, 525)		practice
24	rd	f	22	diamond	none	same	vert	up	N_dis	(964, 400)	True	188562	189441	up	(840, 525)		practice
24	rd	f	22	circle	red	same	hori	left	(964, 649)	(715, 649)	True	190624	191825	left	(840, 525)		practice
24	rd	f	22	circle	red	dif	hori	left	(964, 649)	(715, 649)	True	192869	193577	left	(840, 525)		practice
24	rd	f	22	diamond	green	dif	vert	up	(964, 649)	(964, 400)	True	194662	195537	up	(840, 525)		practice
24	rd	f	22	diamond	red	dif	vert	up	(964, 649)	(840, 701)	True	196643	198489	up	(840, 525)		practice
24	rd	f	22	diamond	none	same	hori	left	N_dis	(715, 400)	True	199655	200688	left	(840, 525)		practice
24	rd	f	22	diamond	green	same	vert	up	(964, 649)	(1016, 525)	True	201716	202993	up	(840, 525)		practice
24	rd	f	22	circle	green	same	vert	up	(964, 649)	(964, 400)	True	253170	254464	up	(840, 525)	0	testing
24	rd	f	22	diamond	green	dif	hori	left	(840, 701)	(664, 525)	True	255633	256465	left	(840, 525)	0	testing
24	rd	f	22	diamond	green	dif	hori	left	(1016, 525)	(840, 701)	True	257654	258953	left	(840, 525)	0	testing
24	rd	f	22	diamond	red	same	hori	left	(840, 701)	(715, 649)	True	260201	261409	left	(840, 525)	0	testing
24	rd	f	22	circle	none	same	vert	up	N_dis	(715, 649)	True	262480	263336	up	(840, 525)	0	testing
24	rd	f	22	circle	green	dif	hori	left	(964, 649)	(840, 701)	True	264352	265656	left	(840, 525)	0	testing
24	rd	f	22	circle	green	same	vert	up	(964, 649)	(840, 349)	True	266870	268216	up	(840, 525)	0	testing
24	rd	f	22	diamond	red	dif	vert	up	(964, 649)	(840, 349)	True	269402	270232	up	(840, 525)	0	testing
24	rd	f	22	circle	red	dif	hori	left	(964, 649)	(664, 525)	True	271267	272040	left	(840, 525)	0	testing
24	rd	f	22	circle	none	same	vert	up	N_dis	(964, 649)	True	273086	274017	up	(840, 525)	0	testing
24	rd	f	22	diamond	green	dif	vert	up	(964, 649)	(964, 400)	True	275094	276137	up	(840, 525)	0	testing
24	rd	f	22	diamond	none	same	hori	left	N_dis	(840, 349)	True	277273	278624	left	(840, 525)	0	testing
24	rd	f	22	circle	red	dif	vert	up	(964, 649)	(715, 400)	True	279651	280680	up	(840, 525)	0	testing
24	rd	f	22	diamond	green	same	vert	up	(964, 649)	(964, 400)	True	281833	283008	up	(840, 525)	0	testing
24	rd	f	22	diamond	none	same	hori	left	N_dis	(840, 701)	True	284124	285328	left	(840, 525)	0	testing
24	rd	f	22	circle	red	same	hori	left	(964, 649)	(715, 649)	True	286437	287176	left	(840, 525)	0	testing
24	rd	f	22	circle	red	same	vert	up	(715, 649)	(715, 400)	True	288370	289536	up	(840, 525)	0	testing
24	rd	f	22	diamond	none	dif	vert	up	N_dis	(840, 701)	True	290705	291857	up	(840, 525)	0	testing
24	rd	f	22	diamond	none	dif	vert	up	N_dis	(715, 400)	True	292879	293760	up	(840, 525)	0	testing
24	rd	f	22	circle	none	same	hori	left	N_dis	(840, 349)	True	294772	295544	left	(840, 525)	0	testing
24	rd	f	22	circle	red	same	vert	up	(840, 349)	(964, 649)	True	296648	298016	up	(840, 525)	0	testing
24	rd	f	22	circle	none	dif	vert	up	N_dis	(1016, 525)	True	299030	300456	up	(840, 525)	0	testing
24	rd	f	22	diamond	none	dif	vert	up	N_dis	(715, 649)	True	301478	302528	up	(840, 525)	0	testing
24	rd	f	22	circle	green	same	vert	up	(715, 649)	(840, 701)	True	303629	304832	up	(840, 525)	0	testing
24	rd	f	22	circle	green	dif	vert	up	(715, 400)	(964, 649)	True	305993	306848	left	(840, 525)	0	testing
24	rd	f	22	diamond	red	same	vert	up	(964, 649)	(715, 400)	True	309608	311224	up	(840, 525)	0	testing
24	rd	f	22	diamond	red	dif	hori	left	(964, 649)	(664, 525)	True	312247	313136	left	(840, 525)	0	testing
24	rd	f	22	circle	red	same	hori	left	(964, 649)	(664, 525)	True	314365	315136	left	(840, 525)	0	testing
24	rd	f	22	circle	none	dif	hori	left	N_dis	(715, 400)	True	316260	317168	left	(840, 525)	0	testing
24	rd	f	22	diamond	red	same	hori	left	(715, 649)	(664, 525)	True	318181	319040	left	(840, 525)	0	testing
24	rd	f	22	circle	none	dif	hori	left	N_dis	(964, 400)	True	320253	321408	left	(840, 525)	0	testing
24	rd	f	22	diamond	none	dif	vert	up	N_dis	(664, 525)	True	322611	323888	up	(840, 525)	0	testing
24	rd	f	22	diamond	red	dif	vert	up	(964, 649)	(840, 701)	True	325041	326464	up	(840, 525)	0	testing
24	rd	f	22	circle	green	same	vert	up	(964, 649)	(840, 701)	True	327668	329096	up	(840, 525)	0	testing
24	rd	f	22	diamond	green	dif	hori	left	(964, 649)	(964, 400)	True	330291	332064	left	(840, 525)	0	testing
24	rd	f	22	diamond	red	same	hori	left	(840, 349)	(964, 400)	True	333197	335120	left	(840, 525)	0	testing
24	rd	f	22	circle	red	same	vert	up	(964, 649)	(1016, 525)	True	336361	337760	up	(840, 525)	0	testing
24	rd	f	22	circle	none	same	hori	left	N_dis	(715, 649)	True	338957	340087	left	(840, 525)	0	testing
24	rd	f	22	circle	green	same	hori	left	(964, 649)	(715, 400)	True	341101	341831	left	(840, 525)	0	testing
24	rd	f	22	diamond	none	same	vert	up	N_dis	(964, 400)	True	342918	343864	up	(840, 525)	0	testing
24	rd	f	22	diamond	green	dif	vert	up	(964, 649)	(840, 349)	True	345015	345600	up	(840, 525)	0	testing
24	rd	f	22	diamond	green	same	vert	up	(964, 649)	(1016, 525)	True	346825	347992	up	(840, 525)	0	testing
24	rd	f	22	diamond	none	dif	hori	left	N_dis	(964, 649)	True	349238	350296	left	(840, 525)	0	testing
24	rd	f	22	circle	none	same	vert	up	N_dis	(664, 525)	True	351394	354088	up	(840, 525)	0	testing
24	rd	f	22	circle	none	dif	hori	left	N_dis	(840, 349)	True	355198	356071	left	(840, 525)	0	testing
24	rd	f	22	diamond	green	same	hori	left	(964, 649)	(840, 701)	True	357193	358063	up	(840, 525)	0	testing
24	rd	f	22	diamond	none	dif	hori	left	N_dis	(1016, 525)	True	360756	362048	left	(840, 525)	0	testing
24	rd	f	22	circle	green	dif	vert	up	(964, 649)	(1016, 525)	True	363272	364864	left	(840, 525)	0	testing
24	rd	f	22	diamond	red	dif	hori	left	(964, 649)	(715, 649)	True	367514	368600	left	(840, 525)	0	testing
24	rd	f	22	diamond	none	same	vert	up	N_dis	(964, 649)	True	369641	370728	up	(840, 525)	0	testing
24	rd	f	22	diamond	red	same	vert	up	(964, 649)	(840, 349)	True	371856	372991	up	(840, 525)	0	testing
24	rd	f	22	diamond	red	dif	vert	up	(964, 649)	(1016, 525)	True	374006	375015	up	(840, 525)	0	testing
24	rd	f	22	circle	green	dif	hori	left	(715, 400)	(964, 400)	True	376022	377256	left	(840, 525)	0	testing
24	rd	f	22	diamond	none	dif	hori	left	N_dis	(964, 400)	True	378473	379616	left	(840, 525)	0	testing
24	rd	f	22	circle	green	dif	vert	up	(715, 400)	(840, 349)	True	380696	382032	up	(840, 525)	0	testing
24	rd	f	22	circle	red	dif	hori	left	(964, 649)	(664, 525)	True	383263	384856	left	(840, 525)	0	testing
24	rd	f	22	circle	red	dif	vert	up	(964, 649)	(964, 400)	True	386081	386935	up	(840, 525)	0	testing
24	rd	f	22	diamond	green	dif	vert	up	(964, 649)	(664, 525)	True	388107	389143	up	(840, 525)	0	testing
24	rd	f	22	diamond	green	same	hori	left	(964, 649)	(840, 701)	True	390184	392191	left	(840, 525)	0	testing
