subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
2	pr	m	20	circle	none	dif	hori	left	N_dis	(715, 400)	False	112152	None	None	(840, 525)		practice
2	pr	m	20	diamond	green	dif	vert	up	(964, 400)	(964, 649)	True	117748	118801	left	(840, 525)		practice
2	pr	m	20	circle	none	same	hori	left	N_dis	(1016, 525)	True	121446	122345	left	(840, 525)		practice
2	pr	m	20	circle	green	dif	vert	up	(964, 400)	(964, 649)	True	123535	124600	up	(840, 525)		practice
2	pr	m	20	circle	red	dif	hori	left	(964, 400)	(840, 701)	True	125616	126816	up	(840, 525)		practice
2	pr	m	20	circle	none	dif	vert	up	N_dis	(1016, 525)	True	129488	130313	up	(840, 525)		practice
2	pr	m	20	circle	red	same	vert	up	(964, 400)	(840, 349)	True	131397	132609	left	(840, 525)		practice
2	pr	m	20	diamond	red	same	hori	left	(964, 400)	(664, 525)	True	135300	136121	up	(840, 525)		practice
2	pr	m	20	diamond	green	dif	vert	up	(964, 400)	(1016, 525)	True	138735	139888	up	(840, 525)		practice
2	pr	m	20	diamond	green	same	hori	left	(964, 400)	(715, 649)	True	140896	142112	left	(840, 525)		practice
2	pr	m	20	diamond	none	same	hori	left	N_dis	(964, 400)	True	143272	143912	up	(840, 525)		practice
2	pr	m	20	circle	green	dif	hori	left	(964, 400)	(840, 349)	True	146608	147801	left	(840, 525)		practice
2	pr	m	20	circle	green	dif	vert	up	(964, 400)	(964, 649)	True	148904	150129	up	(840, 525)		practice
2	pr	m	20	diamond	none	same	vert	up	N_dis	(715, 649)	True	151210	152097	left	(840, 525)		practice
2	pr	m	20	diamond	red	same	vert	up	(964, 400)	(715, 400)	True	154839	155696	left	(840, 525)		practice
2	pr	m	20	circle	none	dif	vert	up	N_dis	(840, 349)	True	158266	159448	up	(840, 525)		practice
2	pr	m	20	circle	green	dif	hori	left	(964, 400)	(664, 525)	True	160628	161936	left	(840, 525)		practice
2	pr	m	20	circle	none	same	vert	up	N_dis	(715, 649)	True	163035	164297	up	(840, 525)		practice
2	pr	m	20	diamond	green	dif	hori	left	(964, 400)	(1016, 525)	True	165339	166481	left	(840, 525)		practice
2	pr	m	20	circle	red	dif	hori	left	(964, 400)	(715, 649)	True	167707	168681	left	(840, 525)		practice
2	pr	m	20	diamond	green	dif	hori	left	(964, 400)	(715, 649)	True	169891	170944	left	(840, 525)		practice
2	pr	m	20	circle	none	dif	hori	left	N_dis	(1016, 525)	True	171998	173576	left	(840, 525)		practice
2	pr	m	20	diamond	red	dif	hori	left	(964, 400)	(715, 400)	True	174648	175872	left	(840, 525)		practice
2	pr	m	20	diamond	none	dif	hori	left	N_dis	(840, 701)	True	177089	178232	left	(840, 525)		practice
2	pr	m	20	circle	none	dif	hori	left	N_dis	(840, 349)	True	179253	180256	left	(840, 525)		practice
2	pr	m	20	diamond	red	dif	hori	left	(964, 400)	(1016, 525)	True	181414	182953	left	(840, 525)		practice
2	pr	m	20	diamond	red	dif	hori	left	(964, 400)	(664, 525)	True	183991	184961	up	(840, 525)		practice
2	pr	m	20	circle	red	same	hori	left	(964, 400)	(840, 701)	True	187655	189016	left	(840, 525)		practice
2	pr	m	20	diamond	red	dif	vert	up	(964, 400)	(715, 649)	True	190126	191168	up	(840, 525)		practice
2	pr	m	20	circle	none	same	vert	up	N_dis	(664, 525)	True	192338	193600	up	(840, 525)		practice
2	pr	m	20	diamond	none	dif	vert	up	N_dis	(715, 400)	True	194762	195912	left	(840, 525)		practice
2	pr	m	20	diamond	none	dif	vert	up	N_dis	(964, 400)	True	198606	199713	up	(840, 525)		practice
2	pr	m	20	diamond	red	dif	vert	up	(964, 400)	(964, 649)	True	200863	202616	left	(840, 525)		practice
2	pr	m	20	diamond	red	dif	hori	left	(964, 400)	(715, 400)	True	205251	206056	up	(840, 525)		practice
2	pr	m	20	diamond	none	same	hori	left	N_dis	(964, 400)	True	208619	209896	left	(840, 525)		practice
2	pr	m	20	circle	red	dif	hori	left	(964, 400)	(964, 649)	True	211154	212400	left	(840, 525)		practice
2	pr	m	20	circle	green	dif	vert	up	(964, 400)	(840, 349)	True	213600	214672	up	(840, 525)		practice
2	pr	m	20	circle	red	same	vert	up	(964, 400)	(715, 649)	True	215929	216553	up	(840, 525)		practice
2	pr	m	20	circle	green	same	hori	left	(964, 400)	(715, 649)	True	217594	218336	up	(840, 525)		practice
2	pr	m	20	circle	green	same	vert	up	(964, 400)	(664, 525)	True	220990	221944	up	(840, 525)		practice
2	pr	m	20	diamond	none	dif	vert	up	N_dis	(964, 400)	True	225617	227296	up	(840, 525)	0	testing
2	pr	m	20	circle	green	same	vert	up	(840, 349)	(1016, 525)	True	228359	229504	up	(840, 525)	0	testing
2	pr	m	20	circle	green	dif	vert	up	(1016, 525)	(964, 400)	True	230630	231576	up	(840, 525)	0	testing
2	pr	m	20	circle	none	same	hori	left	N_dis	(715, 649)	True	232823	233567	left	(840, 525)	0	testing
2	pr	m	20	circle	red	same	vert	up	(964, 400)	(715, 400)	True	234780	235592	up	(840, 525)	0	testing
2	pr	m	20	circle	none	same	vert	up	N_dis	(1016, 525)	True	236800	237488	up	(840, 525)	0	testing
2	pr	m	20	circle	green	same	hori	left	(964, 400)	(715, 649)	True	238558	239312	left	(840, 525)	0	testing
2	pr	m	20	diamond	green	dif	vert	up	(964, 400)	(840, 349)	True	240565	241560	up	(840, 525)	0	testing
2	pr	m	20	diamond	green	dif	hori	left	(964, 400)	(715, 649)	True	242796	243544	left	(840, 525)	0	testing
2	pr	m	20	diamond	red	dif	hori	left	(964, 400)	(1016, 525)	True	244551	245416	left	(840, 525)	0	testing
2	pr	m	20	diamond	red	same	vert	up	(840, 701)	(715, 649)	True	246459	247856	up	(840, 525)	0	testing
2	pr	m	20	circle	green	same	hori	left	(964, 400)	(1016, 525)	True	248986	250287	left	(840, 525)	0	testing
2	pr	m	20	circle	green	dif	hori	left	(964, 400)	(1016, 525)	True	251294	252080	left	(840, 525)	0	testing
2	pr	m	20	circle	none	dif	vert	up	N_dis	(664, 525)	True	253103	253808	up	(840, 525)	0	testing
2	pr	m	20	diamond	red	dif	vert	up	(964, 400)	(964, 649)	True	254881	256216	up	(840, 525)	0	testing
2	pr	m	20	circle	none	dif	vert	up	N_dis	(1016, 525)	True	257273	258056	up	(840, 525)	0	testing
2	pr	m	20	circle	green	same	vert	up	(840, 349)	(964, 400)	True	259104	259912	up	(840, 525)	0	testing
2	pr	m	20	circle	red	same	vert	up	(964, 400)	(840, 349)	True	261109	262648	up	(840, 525)	0	testing
2	pr	m	20	circle	none	same	vert	up	N_dis	(664, 525)	True	263798	264391	up	(840, 525)	0	testing
2	pr	m	20	circle	green	dif	vert	up	(964, 400)	(964, 649)	True	265436	266207	up	(840, 525)	0	testing
2	pr	m	20	diamond	red	same	hori	left	(964, 400)	(715, 400)	True	267267	268503	left	(840, 525)	0	testing
2	pr	m	20	diamond	none	same	hori	left	N_dis	(715, 649)	True	269649	270392	left	(840, 525)	0	testing
2	pr	m	20	diamond	none	same	hori	left	N_dis	(964, 400)	True	271444	272136	left	(840, 525)	0	testing
2	pr	m	20	circle	red	dif	vert	up	(964, 400)	(715, 400)	True	273380	274152	up	(840, 525)	0	testing
2	pr	m	20	diamond	red	same	vert	up	(840, 349)	(715, 649)	True	275192	276072	up	(840, 525)	0	testing
2	pr	m	20	diamond	none	same	vert	up	N_dis	(715, 649)	True	277285	277896	up	(840, 525)	0	testing
2	pr	m	20	circle	red	same	hori	left	(964, 400)	(840, 701)	True	278914	279823	left	(840, 525)	0	testing
2	pr	m	20	diamond	green	same	hori	left	(964, 400)	(715, 649)	True	280988	281903	left	(840, 525)	0	testing
2	pr	m	20	diamond	none	dif	hori	left	N_dis	(840, 349)	True	283114	284127	left	(840, 525)	0	testing
2	pr	m	20	diamond	none	same	vert	up	N_dis	(964, 400)	True	285192	286087	up	(840, 525)	0	testing
2	pr	m	20	diamond	none	dif	hori	left	N_dis	(964, 649)	True	287324	287976	left	(840, 525)	0	testing
2	pr	m	20	circle	red	same	vert	up	(715, 400)	(964, 400)	True	289216	290360	up	(840, 525)	0	testing
2	pr	m	20	diamond	none	same	vert	up	N_dis	(664, 525)	True	291549	292480	up	(840, 525)	0	testing
2	pr	m	20	diamond	green	dif	hori	left	(964, 649)	(840, 701)	True	293699	294567	left	(840, 525)	0	testing
2	pr	m	20	diamond	none	dif	hori	left	N_dis	(840, 701)	True	295708	296399	left	(840, 525)	0	testing
2	pr	m	20	circle	green	same	hori	left	(715, 649)	(715, 400)	True	297440	298279	left	(840, 525)	0	testing
2	pr	m	20	diamond	red	same	hori	left	(715, 649)	(664, 525)	True	299324	300143	left	(840, 525)	0	testing
2	pr	m	20	diamond	green	same	vert	up	(1016, 525)	(840, 701)	True	301192	302111	up	(840, 525)	0	testing
2	pr	m	20	circle	green	dif	vert	up	(964, 400)	(840, 349)	True	303143	304072	up	(840, 525)	0	testing
2	pr	m	20	circle	red	same	hori	left	(715, 400)	(964, 400)	True	305109	305920	left	(840, 525)	0	testing
2	pr	m	20	circle	green	dif	hori	left	(715, 649)	(1016, 525)	True	306953	307784	left	(840, 525)	0	testing
2	pr	m	20	circle	none	dif	hori	left	N_dis	(840, 349)	True	308829	309496	left	(840, 525)	0	testing
2	pr	m	20	circle	none	dif	vert	up	N_dis	(840, 701)	True	310693	311287	up	(840, 525)	0	testing
2	pr	m	20	circle	green	dif	hori	left	(964, 400)	(664, 525)	True	312409	313255	left	(840, 525)	0	testing
2	pr	m	20	diamond	none	dif	vert	up	N_dis	(715, 400)	True	314460	315167	up	(840, 525)	0	testing
2	pr	m	20	diamond	green	same	vert	up	(964, 400)	(840, 701)	True	316249	317143	up	(840, 525)	0	testing
2	pr	m	20	circle	red	same	hori	left	(664, 525)	(715, 400)	True	318277	318927	left	(840, 525)	0	testing
2	pr	m	20	circle	none	dif	hori	left	N_dis	(1016, 525)	True	320007	320983	left	(840, 525)	0	testing
2	pr	m	20	diamond	green	same	vert	up	(964, 400)	(840, 701)	True	322155	322992	up	(840, 525)	0	testing
2	pr	m	20	circle	none	same	hori	left	N_dis	(1016, 525)	True	324221	325160	left	(840, 525)	0	testing
2	pr	m	20	circle	none	dif	vert	up	N_dis	(840, 349)	True	326224	327047	up	(840, 525)	0	testing
2	pr	m	20	circle	none	dif	vert	up	N_dis	(840, 701)	True	328247	328823	up	(840, 525)	0	testing
2	pr	m	20	circle	red	same	vert	up	(964, 400)	(715, 649)	True	330044	330935	up	(840, 525)	0	testing
2	pr	m	20	diamond	red	same	hori	left	(964, 649)	(1016, 525)	True	332096	333087	left	(840, 525)	0	testing
2	pr	m	20	diamond	green	dif	hori	left	(964, 400)	(840, 701)	True	334129	334927	left	(840, 525)	0	testing
2	pr	m	20	diamond	red	same	hori	left	(964, 400)	(664, 525)	True	335962	336663	left	(840, 525)	0	testing
2	pr	m	20	diamond	green	dif	vert	up	(964, 400)	(1016, 525)	True	337851	338503	up	(840, 525)	0	testing
2	pr	m	20	circle	none	same	vert	up	N_dis	(715, 649)	True	339679	340552	up	(840, 525)	0	testing
2	pr	m	20	diamond	green	dif	hori	left	(964, 400)	(664, 525)	True	341568	342431	left	(840, 525)	0	testing
2	pr	m	20	circle	none	same	hori	left	N_dis	(715, 400)	True	343441	344183	left	(840, 525)	0	testing
2	pr	m	20	circle	green	same	hori	left	(964, 400)	(840, 349)	True	345212	346015	left	(840, 525)	0	testing
2	pr	m	20	diamond	none	dif	vert	up	N_dis	(964, 649)	True	347065	347639	up	(840, 525)	0	testing
2	pr	m	20	circle	red	dif	hori	left	(964, 400)	(840, 349)	True	348749	350151	left	(840, 525)	0	testing
2	pr	m	20	diamond	red	same	vert	up	(964, 400)	(715, 400)	True	351164	352127	up	(840, 525)	0	testing
2	pr	m	20	diamond	red	dif	hori	left	(964, 400)	(664, 525)	True	353218	353999	left	(840, 525)	0	testing
2	pr	m	20	diamond	red	dif	vert	up	(964, 400)	(715, 649)	True	355101	355767	up	(840, 525)	0	testing
2	pr	m	20	diamond	green	dif	hori	left	(964, 400)	(1016, 525)	True	356838	357695	left	(840, 525)	0	testing
2	pr	m	20	diamond	green	same	hori	left	(840, 701)	(964, 400)	True	358740	359519	left	(840, 525)	0	testing
2	pr	m	20	circle	red	same	hori	left	(664, 525)	(964, 400)	True	360558	361335	left	(840, 525)	0	testing
2	pr	m	20	circle	green	dif	vert	up	(964, 400)	(964, 649)	True	362379	363359	up	(840, 525)	0	testing
2	pr	m	20	circle	none	dif	hori	left	N_dis	(715, 400)	True	364534	365191	left	(840, 525)	0	testing
2	pr	m	20	diamond	red	dif	vert	up	(840, 701)	(664, 525)	True	366360	367663	left	(840, 525)	0	testing
2	pr	m	20	diamond	red	dif	hori	left	(964, 400)	(715, 400)	True	370318	371175	left	(840, 525)	0	testing
