subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
3	pe	f	22	circle	green	same	vert	up	(840, 349)	(715, 649)	True	227344	230294	up	(840, 525)		practice
3	pe	f	22	circle	green	same	vert	up	(840, 349)	(715, 400)	True	231517	233846	up	(840, 525)		practice
3	pe	f	22	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	234918	236205	up	(840, 525)		practice
3	pe	f	22	circle	none	dif	hori	left	N_dis	(964, 400)	True	237460	238869	left	(840, 525)		practice
3	pe	f	22	diamond	none	same	hori	left	N_dis	(964, 649)	True	240110	241702	left	(840, 525)		practice
3	pe	f	22	circle	red	same	vert	up	(840, 349)	(840, 701)	True	242892	244342	up	(840, 525)		practice
3	pe	f	22	diamond	red	same	hori	left	(840, 349)	(715, 649)	False	245473	None	None	(840, 525)		practice
3	pe	f	22	circle	none	same	hori	left	N_dis	(1016, 525)	True	251273	252509	left	(840, 525)		practice
3	pe	f	22	circle	green	dif	vert	up	(840, 349)	(1016, 525)	True	253761	255021	up	(840, 525)		practice
3	pe	f	22	circle	none	dif	hori	left	N_dis	(715, 400)	True	256118	257662	left	(840, 525)		practice
3	pe	f	22	circle	red	same	hori	left	(840, 349)	(715, 649)	True	258810	260606	left	(840, 525)		practice
3	pe	f	22	diamond	red	dif	hori	left	(840, 349)	(964, 649)	True	261719	263358	left	(840, 525)		practice
3	pe	f	22	diamond	red	dif	vert	up	(840, 349)	(1016, 525)	True	264542	265725	up	(840, 525)		practice
3	pe	f	22	diamond	green	dif	vert	up	(840, 349)	(964, 400)	True	266949	268485	up	(840, 525)		practice
3	pe	f	22	circle	red	dif	hori	left	(840, 349)	(664, 525)	True	269668	270765	left	(840, 525)		practice
3	pe	f	22	circle	green	dif	hori	left	(840, 349)	(964, 400)	True	271791	273829	left	(840, 525)		practice
3	pe	f	22	diamond	green	same	hori	left	(840, 349)	(964, 649)	True	274962	276054	left	(840, 525)		practice
3	pe	f	22	circle	none	same	hori	left	N_dis	(840, 349)	True	277156	279070	left	(840, 525)		practice
3	pe	f	22	circle	red	dif	hori	left	(840, 349)	(964, 649)	True	280282	282285	left	(840, 525)		practice
3	pe	f	22	circle	green	same	hori	left	(840, 349)	(715, 400)	True	283331	285701	left	(840, 525)		practice
3	pe	f	22	diamond	none	dif	hori	left	N_dis	(664, 525)	True	286794	288197	left	(840, 525)		practice
3	pe	f	22	diamond	red	same	hori	left	(840, 349)	(840, 701)	True	289365	291085	left	(840, 525)		practice
3	pe	f	22	circle	none	same	vert	up	N_dis	(715, 649)	True	292193	293630	up	(840, 525)		practice
3	pe	f	22	diamond	red	same	vert	up	(840, 349)	(964, 400)	True	294816	296901	up	(840, 525)		practice
3	pe	f	22	diamond	green	dif	hori	left	(840, 349)	(840, 701)	True	298105	300893	left	(840, 525)		practice
3	pe	f	22	diamond	green	same	vert	up	(840, 349)	(964, 400)	True	301943	303037	up	(840, 525)		practice
3	pe	f	22	diamond	green	dif	vert	up	(840, 349)	(840, 701)	True	304132	304877	up	(840, 525)		practice
3	pe	f	22	diamond	green	dif	hori	left	(840, 349)	(964, 400)	True	305905	306677	left	(840, 525)		practice
3	pe	f	22	circle	red	dif	vert	up	(840, 349)	(664, 525)	True	307756	309029	up	(840, 525)		practice
3	pe	f	22	diamond	red	dif	vert	up	(840, 349)	(964, 400)	True	310227	311158	up	(840, 525)		practice
3	pe	f	22	diamond	none	same	vert	up	N_dis	(840, 349)	True	312245	313069	up	(840, 525)		practice
3	pe	f	22	diamond	green	same	vert	up	(840, 349)	(964, 649)	True	314280	314997	up	(840, 525)		practice
3	pe	f	22	diamond	none	same	vert	up	N_dis	(964, 400)	True	316106	316821	up	(840, 525)		practice
3	pe	f	22	diamond	green	dif	hori	left	(840, 349)	(840, 701)	True	317978	319805	left	(840, 525)		practice
3	pe	f	22	diamond	red	dif	hori	left	(840, 349)	(1016, 525)	True	320988	321893	left	(840, 525)		practice
3	pe	f	22	circle	red	same	vert	up	(840, 349)	(715, 400)	True	322910	324045	up	(840, 525)		practice
3	pe	f	22	circle	none	same	hori	left	N_dis	(964, 649)	True	325166	326309	left	(840, 525)		practice
3	pe	f	22	circle	red	dif	vert	up	(840, 349)	(715, 649)	True	327550	328581	up	(840, 525)		practice
3	pe	f	22	circle	red	dif	hori	left	(840, 349)	(715, 649)	True	329709	331133	left	(840, 525)		practice
3	pe	f	22	diamond	red	same	hori	left	(840, 349)	(1016, 525)	True	332364	333205	left	(840, 525)		practice
3	pe	f	22	circle	none	same	hori	left	N_dis	(715, 400)	True	338334	339509	left	(840, 525)	0	testing
3	pe	f	22	diamond	green	dif	vert	up	(840, 349)	(715, 649)	True	340540	341869	left	(840, 525)	0	testing
3	pe	f	22	circle	red	dif	hori	left	(840, 349)	(664, 525)	True	344566	346613	left	(840, 525)	0	testing
3	pe	f	22	circle	none	dif	vert	up	N_dis	(664, 525)	True	347818	348709	up	(840, 525)	0	testing
3	pe	f	22	diamond	red	dif	hori	left	(840, 349)	(1016, 525)	True	349771	351037	left	(840, 525)	0	testing
3	pe	f	22	diamond	red	same	hori	left	(964, 649)	(840, 701)	True	352232	353117	left	(840, 525)	0	testing
3	pe	f	22	diamond	green	same	vert	up	(840, 349)	(964, 649)	True	354133	355005	up	(840, 525)	0	testing
3	pe	f	22	circle	none	same	vert	up	N_dis	(964, 400)	True	356034	357117	up	(840, 525)	0	testing
3	pe	f	22	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	358160	358956	up	(840, 525)	0	testing
3	pe	f	22	circle	green	same	vert	up	(664, 525)	(715, 400)	True	360100	361324	up	(840, 525)	0	testing
3	pe	f	22	circle	none	same	vert	up	N_dis	(840, 701)	True	362534	363149	up	(840, 525)	0	testing
3	pe	f	22	circle	green	dif	hori	left	(840, 701)	(964, 400)	True	364303	365493	left	(840, 525)	0	testing
3	pe	f	22	circle	none	dif	hori	left	N_dis	(964, 649)	True	366723	367453	left	(840, 525)	0	testing
3	pe	f	22	circle	red	dif	hori	left	(715, 400)	(840, 349)	True	368559	369277	left	(840, 525)	0	testing
3	pe	f	22	diamond	red	dif	vert	up	(840, 701)	(715, 649)	True	370452	371325	up	(840, 525)	0	testing
3	pe	f	22	diamond	none	same	vert	up	N_dis	(964, 400)	True	372486	373141	up	(840, 525)	0	testing
3	pe	f	22	diamond	none	same	hori	left	N_dis	(840, 701)	True	374283	375052	left	(840, 525)	0	testing
3	pe	f	22	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	376300	376980	up	(840, 525)	0	testing
3	pe	f	22	circle	none	dif	hori	left	N_dis	(964, 400)	True	378136	379036	left	(840, 525)	0	testing
3	pe	f	22	circle	green	dif	vert	up	(840, 349)	(840, 701)	True	380045	380933	up	(840, 525)	0	testing
3	pe	f	22	circle	green	dif	vert	up	(840, 349)	(1016, 525)	True	382031	382621	up	(840, 525)	0	testing
3	pe	f	22	diamond	none	dif	hori	left	N_dis	(840, 701)	True	383643	385125	left	(840, 525)	0	testing
3	pe	f	22	circle	none	dif	vert	up	N_dis	(715, 649)	True	386232	387205	up	(840, 525)	0	testing
3	pe	f	22	diamond	green	same	hori	left	(840, 349)	(715, 649)	True	388287	389844	left	(840, 525)	0	testing
3	pe	f	22	diamond	red	same	hori	left	(840, 349)	(964, 400)	True	390896	391868	left	(840, 525)	0	testing
3	pe	f	22	circle	red	dif	vert	up	(964, 649)	(840, 349)	True	392997	394652	up	(840, 525)	0	testing
3	pe	f	22	diamond	green	same	hori	left	(840, 349)	(964, 649)	True	395723	397821	left	(840, 525)	0	testing
3	pe	f	22	circle	red	dif	vert	up	(840, 349)	(664, 525)	True	398936	400677	left	(840, 525)	0	testing
3	pe	f	22	circle	green	dif	vert	up	(840, 349)	(1016, 525)	True	403338	404789	left	(840, 525)	0	testing
3	pe	f	22	circle	red	same	hori	left	(840, 349)	(964, 649)	True	407305	409276	left	(840, 525)	0	testing
3	pe	f	22	circle	red	same	hori	left	(840, 349)	(715, 649)	True	410374	411428	left	(840, 525)	0	testing
3	pe	f	22	circle	green	same	vert	up	(715, 649)	(1016, 525)	True	412510	413228	up	(840, 525)	0	testing
