subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
4	lr	f	25	circle	none	dif	vert	up	N_dis	(964, 649)	True	191884	193689	up	(840, 525)		practice
4	lr	f	25	diamond	green	same	hori	left	(715, 400)	(840, 701)	True	194932	196554	left	(840, 525)		practice
4	lr	f	25	circle	none	dif	vert	up	N_dis	(715, 649)	True	197732	198866	up	(840, 525)		practice
4	lr	f	25	diamond	green	dif	hori	left	(715, 400)	(840, 349)	False	199930	None	None	(840, 525)		practice
4	lr	f	25	diamond	green	same	hori	left	(715, 400)	(715, 649)	True	205710	207641	left	(840, 525)		practice
4	lr	f	25	circle	red	dif	hori	left	(715, 400)	(964, 649)	True	208793	209801	left	(840, 525)		practice
4	lr	f	25	diamond	none	dif	hori	left	N_dis	(664, 525)	True	211050	212185	left	(840, 525)		practice
4	lr	f	25	diamond	green	same	vert	up	(715, 400)	(715, 649)	True	213293	214450	up	(840, 525)		practice
4	lr	f	25	diamond	none	dif	vert	up	N_dis	(964, 400)	True	215667	216810	up	(840, 525)		practice
4	lr	f	25	circle	green	dif	hori	left	(715, 400)	(840, 349)	True	217824	219202	left	(840, 525)		practice
4	lr	f	25	diamond	none	same	vert	up	N_dis	(664, 525)	True	220394	221809	left	(840, 525)		practice
4	lr	f	25	circle	red	same	hori	left	(715, 400)	(964, 400)	True	224406	227209	left	(840, 525)		practice
4	lr	f	25	circle	none	dif	hori	left	N_dis	(715, 400)	True	228335	229825	left	(840, 525)		practice
4	lr	f	25	diamond	none	same	hori	left	N_dis	(964, 649)	True	230937	233250	left	(840, 525)		practice
4	lr	f	25	diamond	none	dif	vert	up	N_dis	(715, 400)	True	234282	236474	up	(840, 525)		practice
4	lr	f	25	circle	none	dif	hori	left	N_dis	(715, 400)	True	237571	239305	left	(840, 525)		practice
4	lr	f	25	circle	none	same	vert	up	N_dis	(964, 649)	True	240344	241825	up	(840, 525)		practice
4	lr	f	25	diamond	red	dif	vert	up	(715, 400)	(964, 649)	True	243026	244793	up	(840, 525)		practice
4	lr	f	25	circle	green	same	vert	up	(715, 400)	(840, 701)	True	245879	246737	up	(840, 525)		practice
4	lr	f	25	diamond	none	dif	hori	left	N_dis	(840, 349)	True	247801	249146	left	(840, 525)		practice
4	lr	f	25	circle	red	dif	vert	up	(715, 400)	(964, 400)	True	250186	251826	up	(840, 525)		practice
4	lr	f	25	circle	red	dif	hori	left	(715, 400)	(715, 649)	True	252981	253809	left	(840, 525)		practice
4	lr	f	25	diamond	red	dif	hori	left	(715, 400)	(964, 400)	True	254912	255977	up	(840, 525)		practice
4	lr	f	25	circle	red	dif	vert	up	(715, 400)	(1016, 525)	True	258625	260441	up	(840, 525)		practice
4	lr	f	25	circle	none	dif	hori	left	N_dis	(664, 525)	True	261526	262457	left	(840, 525)		practice
4	lr	f	25	diamond	green	same	hori	left	(715, 400)	(664, 525)	True	263537	264985	left	(840, 525)		practice
4	lr	f	25	circle	green	dif	vert	up	(715, 400)	(715, 649)	True	266150	267034	up	(840, 525)		practice
4	lr	f	25	diamond	none	dif	hori	left	N_dis	(1016, 525)	True	268136	268985	left	(840, 525)		practice
4	lr	f	25	diamond	green	same	hori	left	(715, 400)	(840, 701)	True	270130	270961	up	(840, 525)		practice
4	lr	f	25	circle	none	same	vert	up	N_dis	(715, 649)	True	273634	274697	up	(840, 525)		practice
