subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
7	le	f	26	circle	red	dif	hori	left	(840, 701)	(664, 525)	True	39875	40729	left	(840, 525)		practice
7	le	f	26	circle	green	same	vert	up	(840, 701)	(964, 400)	True	41900	43217	up	(840, 525)		practice
7	le	f	26	diamond	red	dif	hori	left	(840, 701)	(1016, 525)	True	44261	44866	left	(840, 525)		practice
7	le	f	26	circle	green	dif	hori	left	(840, 701)	(715, 649)	True	45929	46465	up	(840, 525)		practice
7	le	f	26	circle	none	dif	hori	left	N_dis	(1016, 525)	True	49194	49705	left	(840, 525)		practice
7	le	f	26	circle	none	same	vert	up	N_dis	(840, 701)	True	50939	51425	up	(840, 525)		practice
7	le	f	26	circle	red	dif	vert	up	(840, 701)	(1016, 525)	True	52650	53265	up	(840, 525)		practice
7	le	f	26	circle	none	dif	vert	up	N_dis	(664, 525)	True	54438	54937	up	(840, 525)		practice
7	le	f	26	circle	green	dif	vert	up	(840, 701)	(715, 400)	True	56147	56857	up	(840, 525)		practice
7	le	f	26	circle	red	same	vert	up	(840, 701)	(964, 400)	True	57909	58473	up	(840, 525)		practice
7	le	f	26	diamond	red	dif	vert	up	(840, 701)	(964, 400)	True	59696	60497	left	(840, 525)		practice
7	le	f	26	diamond	red	dif	vert	up	(840, 701)	(840, 349)	True	63155	63745	up	(840, 525)		practice
7	le	f	26	circle	none	dif	hori	left	N_dis	(715, 649)	True	64966	65577	left	(840, 525)		practice
7	le	f	26	diamond	red	same	vert	up	(840, 701)	(964, 400)	True	66762	67385	up	(840, 525)		practice
7	le	f	26	diamond	red	same	hori	left	(840, 701)	(715, 649)	True	68532	69281	left	(840, 525)		practice
7	le	f	26	diamond	none	same	hori	left	N_dis	(715, 400)	True	70377	71057	left	(840, 525)		practice
7	le	f	26	circle	red	dif	vert	up	(840, 701)	(715, 649)	True	72093	72857	up	(840, 525)		practice
7	le	f	26	circle	none	same	hori	left	N_dis	(715, 649)	True	73920	74561	left	(840, 525)		practice
7	le	f	26	circle	red	dif	vert	up	(840, 701)	(664, 525)	True	75719	76408	up	(840, 525)		practice
7	le	f	26	circle	red	dif	vert	up	(840, 701)	(964, 649)	True	77437	78176	up	(840, 525)		practice
7	le	f	26	circle	none	same	vert	up	N_dis	(664, 525)	True	79274	79841	up	(840, 525)		practice
7	le	f	26	circle	green	same	hori	left	(840, 701)	(664, 525)	True	80864	81409	left	(840, 525)		practice
7	le	f	26	diamond	red	same	hori	left	(840, 701)	(964, 649)	True	82467	83729	left	(840, 525)		practice
7	le	f	26	diamond	red	same	vert	up	(840, 701)	(840, 349)	True	84929	85545	up	(840, 525)		practice
7	le	f	26	circle	green	dif	hori	left	(840, 701)	(964, 400)	True	86657	87801	left	(840, 525)		practice
7	le	f	26	circle	none	same	hori	left	N_dis	(1016, 525)	True	88863	89705	left	(840, 525)		practice
7	le	f	26	diamond	red	same	hori	left	(840, 701)	(1016, 525)	True	90727	91425	left	(840, 525)		practice
7	le	f	26	diamond	green	dif	hori	left	(840, 701)	(840, 349)	True	92572	93224	left	(840, 525)		practice
7	le	f	26	circle	green	dif	hori	left	(840, 701)	(664, 525)	True	94435	95152	left	(840, 525)		practice
7	le	f	26	diamond	green	dif	vert	up	(840, 701)	(840, 349)	True	96277	96856	up	(840, 525)		practice
7	le	f	26	circle	none	dif	vert	up	N_dis	(840, 349)	True	98102	98649	up	(840, 525)		practice
7	le	f	26	diamond	green	same	vert	up	(840, 701)	(1016, 525)	True	99859	100505	up	(840, 525)		practice
7	le	f	26	circle	none	dif	hori	left	N_dis	(964, 649)	True	101742	102321	left	(840, 525)		practice
7	le	f	26	circle	green	dif	vert	up	(840, 701)	(715, 649)	True	103551	104121	up	(840, 525)		practice
7	le	f	26	circle	red	dif	hori	left	(840, 701)	(715, 400)	True	105175	106097	left	(840, 525)		practice
7	le	f	26	diamond	none	dif	hori	left	N_dis	(664, 525)	True	107242	107872	left	(840, 525)		practice
7	le	f	26	circle	none	dif	vert	up	N_dis	(840, 701)	True	108918	109432	up	(840, 525)		practice
7	le	f	26	circle	green	dif	vert	up	(840, 701)	(715, 649)	True	110477	111256	up	(840, 525)		practice
7	le	f	26	circle	red	dif	hori	left	(840, 701)	(715, 400)	True	112479	113000	left	(840, 525)		practice
7	le	f	26	diamond	none	same	vert	up	N_dis	(715, 400)	True	114077	114665	up	(840, 525)		practice
7	le	f	26	circle	none	dif	hori	left	N_dis	(1016, 525)	True	116778	117305	left	(840, 525)	0	testing
7	le	f	26	diamond	none	same	vert	up	N_dis	(964, 400)	True	118318	118937	up	(840, 525)	0	testing
7	le	f	26	diamond	none	same	hori	left	N_dis	(1016, 525)	True	120029	120625	left	(840, 525)	0	testing
7	le	f	26	circle	none	dif	vert	up	N_dis	(664, 525)	True	121818	122441	up	(840, 525)	0	testing
7	le	f	26	diamond	green	same	hori	left	(664, 525)	(840, 349)	True	123557	124264	left	(840, 525)	0	testing
7	le	f	26	circle	none	dif	vert	up	N_dis	(840, 349)	True	125465	125920	up	(840, 525)	0	testing
7	le	f	26	diamond	none	same	hori	left	N_dis	(964, 649)	True	126989	127552	left	(840, 525)	0	testing
7	le	f	26	circle	green	same	hori	left	(840, 701)	(664, 525)	True	128642	129200	left	(840, 525)	0	testing
7	le	f	26	diamond	red	same	vert	up	(1016, 525)	(840, 701)	True	130332	131024	up	(840, 525)	0	testing
7	le	f	26	circle	green	dif	vert	up	(1016, 525)	(840, 701)	True	132152	132721	up	(840, 525)	0	testing
7	le	f	26	diamond	none	dif	hori	left	N_dis	(1016, 525)	True	133918	134417	left	(840, 525)	0	testing
7	le	f	26	circle	green	dif	hori	left	(840, 701)	(715, 649)	True	135509	136113	left	(840, 525)	0	testing
7	le	f	26	circle	none	dif	vert	up	N_dis	(664, 525)	True	137317	137857	up	(840, 525)	0	testing
7	le	f	26	circle	none	same	vert	up	N_dis	(715, 400)	True	138981	139560	up	(840, 525)	0	testing
7	le	f	26	circle	green	dif	vert	up	(840, 701)	(964, 649)	True	140772	141264	up	(840, 525)	0	testing
7	le	f	26	circle	none	dif	hori	left	N_dis	(964, 649)	True	142313	142800	left	(840, 525)	0	testing
7	le	f	26	circle	green	same	vert	up	(715, 649)	(715, 400)	True	143848	144368	up	(840, 525)	0	testing
7	le	f	26	circle	green	same	hori	left	(840, 701)	(964, 649)	True	145538	146040	left	(840, 525)	0	testing
7	le	f	26	circle	green	dif	hori	left	(840, 701)	(964, 400)	True	147090	147672	left	(840, 525)	0	testing
7	le	f	26	diamond	green	dif	vert	up	(715, 649)	(664, 525)	True	148726	149649	up	(840, 525)	0	testing
7	le	f	26	diamond	none	same	hori	left	N_dis	(964, 649)	True	150822	151321	left	(840, 525)	0	testing
7	le	f	26	circle	red	same	hori	left	(840, 701)	(715, 400)	True	152348	152881	up	(840, 525)	0	testing
7	le	f	26	diamond	red	dif	vert	up	(840, 701)	(964, 649)	True	155485	156192	up	(840, 525)	0	testing
7	le	f	26	diamond	green	same	vert	up	(1016, 525)	(715, 400)	True	157227	157768	up	(840, 525)	0	testing
7	le	f	26	diamond	none	dif	hori	left	N_dis	(664, 525)	True	158962	159656	left	(840, 525)	0	testing
7	le	f	26	diamond	none	same	hori	left	N_dis	(964, 649)	True	160723	161248	up	(840, 525)	0	testing
7	le	f	26	circle	red	same	vert	up	(840, 701)	(664, 525)	True	163843	164568	up	(840, 525)	0	testing
7	le	f	26	circle	green	same	vert	up	(840, 701)	(964, 400)	True	165671	166192	up	(840, 525)	0	testing
7	le	f	26	diamond	red	dif	hori	left	(840, 701)	(964, 400)	True	167216	167729	left	(840, 525)	0	testing
7	le	f	26	circle	none	same	hori	left	N_dis	(1016, 525)	True	168884	169473	left	(840, 525)	0	testing
7	le	f	26	circle	red	dif	vert	up	(840, 701)	(1016, 525)	True	170614	171344	up	(840, 525)	0	testing
7	le	f	26	diamond	none	dif	vert	up	N_dis	(964, 400)	True	172571	173128	up	(840, 525)	0	testing
7	le	f	26	circle	green	dif	hori	left	(840, 701)	(664, 525)	True	174140	174664	left	(840, 525)	0	testing
7	le	f	26	circle	red	dif	vert	up	(840, 701)	(715, 649)	True	175683	176256	up	(840, 525)	0	testing
7	le	f	26	diamond	none	same	vert	up	N_dis	(840, 349)	True	177470	178144	up	(840, 525)	0	testing
7	le	f	26	diamond	green	dif	vert	up	(840, 701)	(840, 349)	True	179305	179984	up	(840, 525)	0	testing
7	le	f	26	diamond	red	dif	hori	left	(840, 701)	(1016, 525)	True	181087	181600	left	(840, 525)	0	testing
7	le	f	26	circle	none	same	hori	left	N_dis	(715, 649)	True	182612	183224	left	(840, 525)	0	testing
7	le	f	26	circle	red	same	hori	left	(840, 349)	(715, 649)	True	184277	184920	left	(840, 525)	0	testing
7	le	f	26	diamond	red	same	vert	up	(840, 701)	(840, 349)	True	186072	186584	up	(840, 525)	0	testing
7	le	f	26	diamond	green	same	hori	left	(840, 701)	(1016, 525)	True	187672	188184	left	(840, 525)	0	testing
7	le	f	26	diamond	none	same	vert	up	N_dis	(715, 400)	True	189207	189832	up	(840, 525)	0	testing
7	le	f	26	diamond	green	dif	vert	up	(840, 349)	(1016, 525)	True	190933	191512	up	(840, 525)	0	testing
