subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
8	fr	f	25	diamond	green	same	vert	up	(964, 649)	(715, 400)	True	46769	48998	up	(840, 525)		practice
8	fr	f	25	circle	green	same	hori	left	(964, 649)	(1016, 525)	True	50212	51879	left	(840, 525)		practice
8	fr	f	25	diamond	red	dif	hori	left	(964, 649)	(715, 649)	True	53015	55679	left	(840, 525)		practice
8	fr	f	25	circle	none	dif	vert	up	N_dis	(715, 400)	True	56931	59687	up	(840, 525)		practice
8	fr	f	25	diamond	green	dif	hori	left	(964, 649)	(840, 349)	True	60936	62703	left	(840, 525)		practice
8	fr	f	25	circle	red	same	hori	left	(964, 649)	(840, 349)	True	63774	65102	up	(840, 525)		practice
8	fr	f	25	diamond	none	same	hori	left	N_dis	(840, 349)	True	67785	69863	left	(840, 525)		practice
8	fr	f	25	diamond	green	dif	hori	left	(964, 649)	(964, 400)	True	70945	72143	left	(840, 525)		practice
8	fr	f	25	circle	green	same	hori	left	(964, 649)	(664, 525)	True	73296	75095	left	(840, 525)		practice
8	fr	f	25	circle	red	same	vert	up	(964, 649)	(1016, 525)	True	76167	78079	up	(840, 525)		practice
8	fr	f	25	diamond	none	dif	vert	up	N_dis	(964, 400)	True	79321	81222	up	(840, 525)		practice
8	fr	f	25	circle	red	dif	vert	up	(964, 649)	(1016, 525)	True	82392	83830	left	(840, 525)		practice
8	fr	f	25	diamond	red	same	vert	up	(964, 649)	(715, 649)	True	86481	88759	up	(840, 525)		practice
8	fr	f	25	circle	none	same	hori	left	N_dis	(964, 649)	True	89944	91279	up	(840, 525)		practice
8	fr	f	25	diamond	green	dif	vert	up	(964, 649)	(840, 701)	True	93853	96598	up	(840, 525)		practice
8	fr	f	25	circle	none	dif	hori	left	N_dis	(840, 349)	True	97815	99206	left	(840, 525)		practice
8	fr	f	25	circle	none	same	hori	left	N_dis	(840, 701)	True	100375	101462	left	(840, 525)		practice
8	fr	f	25	diamond	none	dif	hori	left	N_dis	(715, 649)	True	102628	104206	left	(840, 525)		practice
8	fr	f	25	circle	none	dif	vert	up	N_dis	(715, 649)	True	105452	107687	up	(840, 525)		practice
8	fr	f	25	diamond	none	dif	vert	up	N_dis	(964, 400)	True	108899	110607	up	(840, 525)		practice
8	fr	f	25	circle	red	same	hori	left	(964, 649)	(664, 525)	True	111631	114534	left	(840, 525)		practice
8	fr	f	25	circle	red	dif	hori	left	(964, 649)	(1016, 525)	True	115706	118246	left	(840, 525)		practice
8	fr	f	25	circle	red	same	vert	up	(964, 649)	(715, 649)	True	119460	120718	up	(840, 525)		practice
8	fr	f	25	diamond	green	same	hori	left	(964, 649)	(715, 400)	True	121780	124095	left	(840, 525)		practice
8	fr	f	25	diamond	red	dif	hori	left	(964, 649)	(840, 349)	True	125201	126534	left	(840, 525)		practice
8	fr	f	25	diamond	none	dif	hori	left	N_dis	(1016, 525)	True	127747	128806	left	(840, 525)		practice
8	fr	f	25	diamond	none	dif	vert	up	N_dis	(964, 649)	True	130058	131534	up	(840, 525)		practice
8	fr	f	25	diamond	red	same	vert	up	(964, 649)	(664, 525)	True	132571	134318	up	(840, 525)		practice
8	fr	f	25	diamond	none	dif	vert	up	N_dis	(840, 349)	True	135484	136726	up	(840, 525)		practice
8	fr	f	25	circle	green	dif	vert	up	(964, 649)	(840, 349)	True	137975	139391	up	(840, 525)		practice
8	fr	f	25	circle	none	same	vert	up	N_dis	(840, 349)	True	140531	143070	up	(840, 525)		practice
8	fr	f	25	circle	red	same	vert	up	(964, 649)	(964, 400)	True	144274	146750	up	(840, 525)		practice
8	fr	f	25	diamond	red	same	hori	left	(964, 649)	(840, 701)	True	147986	149806	left	(840, 525)		practice
8	fr	f	25	circle	red	dif	hori	left	(964, 649)	(664, 525)	True	150997	152558	left	(840, 525)		practice
8	fr	f	25	circle	green	same	vert	up	(964, 649)	(715, 400)	True	153809	156358	up	(840, 525)		practice
8	fr	f	25	circle	green	same	vert	up	(964, 649)	(840, 349)	True	157612	160142	up	(840, 525)		practice
8	fr	f	25	diamond	none	dif	hori	left	N_dis	(715, 400)	True	161187	162046	left	(840, 525)		practice
8	fr	f	25	diamond	red	dif	hori	left	(964, 649)	(715, 400)	True	163096	165206	left	(840, 525)		practice
8	fr	f	25	diamond	red	dif	hori	left	(964, 649)	(664, 525)	True	166265	167406	left	(840, 525)		practice
8	fr	f	25	circle	red	same	vert	up	(964, 649)	(964, 400)	True	168653	170974	up	(840, 525)		practice
8	fr	f	25	circle	green	same	hori	left	(964, 649)	(964, 400)	True	178200	180574	left	(840, 525)	0	testing
8	fr	f	25	circle	green	dif	vert	up	(1016, 525)	(964, 649)	True	181661	183206	up	(840, 525)	0	testing
8	fr	f	25	circle	green	same	hori	left	(964, 649)	(1016, 525)	True	184420	186718	left	(840, 525)	0	testing
