subj	name	gender	age	shape	dist	td_dif	resp	resp_key	d_loc	t_loc	gotKey	startTime	respTime	resp	fix_loc	runNum	prac
9	ke	f	27	circle	none	same	vert	up	N_dis	(964, 649)	True	108863	109893	up	(840, 525)		practice
9	ke	f	27	circle	green	dif	hori	left	(1016, 525)	(840, 349)	True	110900	111469	up	(840, 525)		practice
9	ke	f	27	diamond	none	dif	vert	up	N_dis	(1016, 525)	True	114225	114908	up	(840, 525)		practice
9	ke	f	27	circle	none	same	vert	up	N_dis	(715, 649)	True	115987	116828	up	(840, 525)		practice
9	ke	f	27	diamond	green	dif	hori	left	(1016, 525)	(715, 400)	True	117966	119861	left	(840, 525)		practice
9	ke	f	27	circle	green	same	hori	left	(1016, 525)	(715, 649)	True	120905	122661	left	(840, 525)		practice
9	ke	f	27	circle	none	dif	hori	left	N_dis	(664, 525)	True	123718	124589	left	(840, 525)		practice
9	ke	f	27	circle	green	same	hori	left	(1016, 525)	(840, 349)	True	125717	126685	up	(840, 525)		practice
9	ke	f	27	circle	none	same	hori	left	N_dis	(1016, 525)	True	129213	129917	up	(840, 525)		practice
9	ke	f	27	circle	none	same	hori	left	N_dis	(840, 701)	True	132447	133852	left	(840, 525)		practice
9	ke	f	27	diamond	none	dif	hori	left	N_dis	(715, 400)	True	134874	136525	left	(840, 525)		practice
9	ke	f	27	circle	red	dif	hori	left	(1016, 525)	(964, 649)	True	137655	138245	up	(840, 525)		practice
9	ke	f	27	diamond	green	dif	hori	left	(1016, 525)	(840, 349)	True	140947	142213	left	(840, 525)		practice
9	ke	f	27	diamond	none	dif	vert	up	N_dis	(840, 701)	True	143390	145157	up	(840, 525)		practice
9	ke	f	27	circle	green	same	vert	up	(1016, 525)	(715, 400)	True	146353	147652	up	(840, 525)		practice
9	ke	f	27	circle	green	dif	vert	up	(1016, 525)	(840, 701)	True	148817	150052	up	(840, 525)		practice
9	ke	f	27	circle	red	same	hori	left	(1016, 525)	(964, 400)	True	151236	152132	left	(840, 525)		practice
9	ke	f	27	circle	red	same	vert	up	(1016, 525)	(840, 701)	True	153270	154373	up	(840, 525)		practice
9	ke	f	27	diamond	red	dif	vert	up	(1016, 525)	(840, 701)	True	155420	156749	up	(840, 525)		practice
9	ke	f	27	diamond	green	dif	vert	up	(1016, 525)	(715, 400)	True	157869	159037	up	(840, 525)		practice
9	ke	f	27	diamond	green	same	vert	up	(1016, 525)	(664, 525)	True	160101	161396	up	(840, 525)		practice
9	ke	f	27	circle	red	dif	hori	left	(1016, 525)	(715, 400)	True	162650	163564	left	(840, 525)		practice
9	ke	f	27	diamond	red	same	vert	up	(1016, 525)	(715, 649)	True	164759	166860	up	(840, 525)		practice
